symbol,scenario,name,budgetQuote,netPnlQuote,alphaQuote,deltaAlphaVs6hQuote,drawdownPercent,outsidePercent,recenters,earlyRecenters,deltaRecentersVs6h,partialFailures,feesQuote,totalGasWithExitQuote,maximumLiquidityToExistingPpm,economicDecisions,economicAcceptances,invalid,terminalExecutable
AAPL,pinned_fork_costs,baseline_6h,1000000000,186347961,167365848,0,1.9702,71.29244937707021,44,0,0,0,297220083,10202691,556651,16891,71,,True
AAPL,pinned_fork_costs,rolling_30m,1000000000,237680011,218697898,51332050,1.5715,26.521579986714446,72,0,28,0,377069786,16506611,554686,6048,98,,True
AAPL,pinned_fork_costs,rolling_60m,1000000000,330195474,311213361,143847513,2.6671,56.13209636093324,69,0,25,0,480870025,15831191,557168,13301,102,,True
AAPL,pinned_fork_costs,ewma_15m,1000000000,240990418,222008305,54642457,2.7144,39.15243591076084,37,0,-7,0,335693713,8626711,530208,9944,66,,True
AAPL,pinned_fork_costs,ewma_30m,1000000000,226044267,207062154,39696306,1.9682,51.3157668792054,37,0,-7,0,315294950,8626711,529090,12768,56,,True
AAPL,pinned_fork_costs,ewma_30m_fee_blend,1000000000,275749100,256766987,89401139,1.9713,51.67031944074146,49,0,5,0,389436765,11328391,521175,12487,80,,True
AAPL,pinned_fork_costs,baseline_6h_early,1000000000,186347961,167365848,0,1.9702,71.29244937707021,44,0,0,0,297220083,10202691,556651,18184,71,,True
AAPL,pinned_fork_costs,ewma_30m_early,1000000000,226044267,207062154,39696306,1.9682,51.3157668792054,37,0,-7,0,315294950,8626711,529090,14763,56,,True
AAPL,double_gas_half_fees,baseline_6h,1000000000,34876521,15998004,0,2.8955,85.33157397658309,0,0,0,0,35189101,593062,190260,20878,0,,True
AAPL,double_gas_half_fees,rolling_30m,1000000000,44653272,25774755,9776751,2.7036,77.29001821114993,30,0,30,0,148605987,14101462,337891,18139,42,,True
AAPL,double_gas_half_fees,rolling_60m,1000000000,36523292,17644775,1646771,2.8564,79.50879603060196,19,0,19,0,114865865,9148382,255054,18839,28,,True
AAPL,double_gas_half_fees,ewma_15m,1000000000,19021212,142695,-15855309,4.2588,82.11538548440303,5,0,5,0,65943485,2844462,242925,19716,6,,True
AAPL,double_gas_half_fees,ewma_30m,1000000000,16394745,-2483772,-18481776,4.3253,86.34931968024294,3,0,3,0,49261470,1943902,244178,20626,3,,True
AAPL,double_gas_half_fees,ewma_30m_fee_blend,1000000000,11352661,-7525856,-23523860,2.0981,94.23009313444167,2,0,2,0,27340829,1493622,164765,22873,5,,True
AAPL,double_gas_half_fees,baseline_6h_early,1000000000,34876521,15998004,0,2.8955,85.33157397658309,0,0,0,0,35189101,593062,190260,21390,0,,True
AAPL,double_gas_half_fees,ewma_30m_early,1000000000,16394745,-2483772,-18481776,4.3253,86.34931968024294,3,0,3,0,49261470,1943902,244178,21187,3,,True
AAPL,partial_mint_failure,baseline_6h,1000000000,193399793,174417680,0,1.9697,63.4301047476658,22,0,0,5,273872589,7269796,347149,15110,49,,True
AAPL,partial_mint_failure,rolling_30m,1000000000,327684903,308702790,134285110,2.5646,53.310043084485315,56,0,34,13,470943291,18156852,518272,11723,98,,True
AAPL,partial_mint_failure,rolling_60m,1000000000,247061889,228079776,53662096,2.712,60.226161442022075,43,0,21,10,366331376,14017921,521007,13967,80,,True
AAPL,partial_mint_failure,ewma_15m,1000000000,244334878,225352765,50935085,2.7153,39.17028149179172,27,0,5,6,329793141,8799533,530208,9844,60,,True
AAPL,partial_mint_failure,ewma_30m,1000000000,245597134,226615021,52197341,1.8723,52.3481560837434,28,0,6,6,329899285,9024673,529090,13015,51,,True
AAPL,partial_mint_failure,ewma_30m_fee_blend,1000000000,255417806,236435693,62018013,1.9696,49.615849751319274,28,0,6,6,343360405,9024673,521175,11791,58,,True
AAPL,partial_mint_failure,baseline_6h_early,1000000000,193399793,174417680,0,1.9697,63.4301047476658,22,0,0,5,273872589,7269796,347149,16420,49,,True
AAPL,partial_mint_failure,ewma_30m_early,1000000000,245597134,226615021,52197341,1.8723,52.3481560837434,28,0,6,6,329899285,9024673,529090,14974,51,,True
GOOGL,pinned_fork_costs,baseline_6h,1000000000,117543542,128944069,0,1.8899,11.284538097827756,5,0,0,0,143929754,1402011,856391,3210,5,,True
GOOGL,pinned_fork_costs,rolling_30m,1000000000,241535593,252936120,123992051,3.1564,33.87321742492543,29,0,24,0,352810004,6713451,169165,7912,39,,True
GOOGL,pinned_fork_costs,rolling_60m,1000000000,218224568,229625095,100681026,3.3298,36.17383009053575,19,0,14,0,305681862,4500351,344146,8558,23,,True
