symbol,budgetQuote,scenario,name,fromAt,toAt,preBenchmarkCashWaitMs,netPnlQuote,alphaQuote,feesQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,fullWindowMs,drawdownPpm,maximumLiquidityToExistingPpm,sourceGapMs,invalid
AAPL,5000000000,pinned_fork_costs,fixed_20,1785915808000,1789154997000,719008000,204149581,41315577,4252360246,192566091,1,854,0,103691000,3238787000,3958197000,285866,5650190,9277000,
AAPL,5000000000,pinned_fork_costs,fixed_40,1785915808000,1789154997000,719008000,1220740149,1057906145,3373146896,55005551,1,243,0,25529000,3238787000,3958197000,90423,3514149,9277000,
AAPL,5000000000,pinned_fork_costs,fixed_80,1785915808000,1789154997000,719008000,1138696767,975862763,2111743076,16281471,1,71,0,8783000,3238787000,3958197000,49756,1776116,9277000,
AAPL,5000000000,pinned_fork_costs,fixed_160,1785915808000,1789154997000,719008000,906321088,743487084,1069894148,3223351,1,13,0,90691000,2466360000,3958197000,20602,929637,9277000,
AAPL,5000000000,pinned_fork_costs,adaptive_width,1785915808000,1789154997000,719008000,1337519123,1174685119,2386157228,29339591,1,129,0,497404000,2883674000,3958197000,34961,5921475,9277000,
AAPL,5000000000,pinned_fork_costs,adaptive_economic,1785915808000,1789154997000,719008000,306869798,144035794,430131885,3448491,1,14,0,2302460000,2883674000,3958197000,34961,1532496,9277000,
AAPL,5000000000,double_gas_half_fees,fixed_20,1785915808000,1789154997000,719008000,-1881427286,-2044157694,1811757635,385132182,1,854,0,103691000,3238787000,3958197000,382914,4987248,9277000,
AAPL,5000000000,double_gas_half_fees,fixed_40,1785915808000,1789154997000,719008000,-446554911,-609285319,1499633843,110011102,1,243,0,25529000,3238787000,3958197000,144907,3189288,9277000,
AAPL,5000000000,double_gas_half_fees,fixed_80,1785915808000,1789154997000,719008000,93381110,-69349298,980489918,31662382,1,69,0,8450000,3238787000,3958197000,78577,1658335,9277000,
AAPL,5000000000,double_gas_half_fees,fixed_160,1785915808000,1789154997000,719008000,368522729,205792321,514482052,6446702,1,13,0,90691000,2466360000,3958197000,26495,901866,9277000,
AAPL,5000000000,double_gas_half_fees,adaptive_width,1785915808000,1789154997000,719008000,62620224,-100110184,911040103,43369662,1,95,0,494243000,2883674000,3958197000,35586,5702970,9277000,
AAPL,5000000000,double_gas_half_fees,adaptive_economic,1785915808000,1789154997000,719008000,89570259,-73160149,126046302,1043342,1,1,0,2354070000,2883674000,3958197000,35170,1532496,9277000,
AAPL,5000000000,partial_mint_failure,fixed_20,1785915808000,1789154997000,719008000,375566350,212732346,3573721958,171874158,132,527,131,83268000,2999974000,3958197000,221638,6098840,9277000,
AAPL,5000000000,partial_mint_failure,fixed_40,1785915808000,1789154997000,719008000,935852123,773018119,2940329978,60307993,47,184,46,28344000,3160286000,3958197000,120863,4821548,9277000,
AAPL,5000000000,partial_mint_failure,fixed_80,1785915808000,1789154997000,719008000,1133759147,970925143,2064481992,17256292,14,52,13,11537000,3217811000,3958197000,43471,1791538,9277000,
AAPL,5000000000,partial_mint_failure,fixed_160,1785915808000,1789154997000,719008000,895017204,732183200,1052869866,3581145,3,11,2,90683000,2463801000,3958197000,24384,929637,9277000,
AAPL,5000000000,partial_mint_failure,adaptive_width,1785915808000,1789154997000,719008000,938537985,775703981,1577434750,18560889,15,56,14,492443000,2862784000,3958197000,34961,3049922,9277000,
AAPL,5000000000,partial_mint_failure,adaptive_economic,1785915808000,1789154997000,719008000,309164773,146330769,410814355,3130865,3,9,2,2301333000,2880087000,3958197000,34961,1532496,9277000,
AAPL,1000000000,pinned_fork_costs,fixed_20,1785915808000,1789154997000,719008000,657479047,623074633,1829455092,192566091,1,854,0,103691000,3238787000,3958197000,167919,1557419,9277000,
AAPL,1000000000,pinned_fork_costs,fixed_40,1785915808000,1789154997000,719008000,644072000,609667586,1155573757,55005551,1,243,0,25529000,3238787000,3958197000,31959,855121,9277000,
AAPL,1000000000,pinned_fork_costs,fixed_80,1785915808000,1789154997000,719008000,378869946,344465532,581339002,17182031,1,75,0,7322000,3238787000,3958197000,28281,571283,9277000,
AAPL,1000000000,pinned_fork_costs,fixed_160,1785915808000,1789154997000,719008000,211243335,176838921,295323848,5024471,1,21,0,1308000,3239157000,3958197000,24823,280770,9277000,
AAPL,1000000000,pinned_fork_costs,adaptive_width,1785915808000,1789154997000,719008000,451320645,416916231,887163521,59733491,1,264,0,45127000,3238787000,3958197000,34738,1270858,9277000,
AAPL,1000000000,pinned_fork_costs,adaptive_economic,1785915808000,1789154997000,719008000,249488734,215084320,383397982,11553531,1,50,0,2628158000,3238787000,3958197000,19721,611844,9277000,
AAPL,1000000000,double_gas_half_fees,fixed_20,1785915808000,1789154997000,719008000,-436676490,-470977308,669366850,385132182,1,854,0,103691000,3238787000,3958197000,445835,1202671,9277000,
AAPL,1000000000,double_gas_half_fees,fixed_40,1785915808000,1789154997000,719008000,-2568647,-36869465,470967135,110011102,1,243,0,25529000,3238787000,3958197000,101446,716331,9277000,
AAPL,1000000000,double_gas_half_fees,fixed_80,1785915808000,1789154997000,719008000,60626663,26325845,259039328,34364062,1,75,0,7322000,3238787000,3958197000,59008,513788,9277000,
AAPL,1000000000,double_gas_half_fees,fixed_160,1785915808000,1789154997000,719008000,57620505,23319687,139203109,10048942,1,21,0,1308000,3239157000,3958197000,31906,264759,9277000,
AAPL,1000000000,double_gas_half_fees,adaptive_width,1785915808000,1789154997000,719008000,21323608,-12977210,207069359,42919382,1,94,0,7664000,3238787000,3958197000,47397,1240742,9277000,
AAPL,1000000000,double_gas_half_fees,adaptive_economic,1785915808000,1789154997000,719008000,20750700,-13550118,31723892,1043342,1,1,0,2022658000,3238787000,3958197000,24402,153694,9277000,
AAPL,1000000000,partial_mint_failure,fixed_20,1785915808000,1789154997000,719008000,511501491,477097077,1366536372,162741979,125,499,124,78600000,2920099000,3958197000,98901,1638349,9277000,
AAPL,1000000000,partial_mint_failure,fixed_40,1785915808000,1789154997000,719008000,566125813,531721399,1006876308,56394202,44,172,43,25664000,3143745000,3958197000,40509,1184290,9277000,
AAPL,1000000000,partial_mint_failure,fixed_80,1785915808000,1789154997000,719008000,346257378,311852964,558041003,20090626,16,61,15,9307000,3216080000,3958197000,28135,401133,9277000,
AAPL,1000000000,partial_mint_failure,fixed_160,1785915808000,1789154997000,719008000,212027779,177623365,292307879,5514919,5,16,4,1288000,3234334000,3958197000,20531,280278,9277000,
AAPL,1000000000,partial_mint_failure,adaptive_width,1785915808000,1789154997000,719008000,416784579,382380165,726240117,49467180,38,152,37,13484000,3182450000,3958197000,24845,1115364,9277000,
