symbol,budgetQuote,scenario,name,key,fromAt,toAt,navChangeQuote,holdChangeQuote,alphaQuote,feesQuote,gasQuote,actions,marks,holdingMs,outsideMs
AAPL,5000000000,pinned_fork_costs,fixed_20,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,pinned_fork_costs,fixed_20,2026-08-03,1785715200000,1786319868000,-579734122,2891775,-582625897,129776235,27871117,124,7242,403658000,21588000
AAPL,5000000000,pinned_fork_costs,fixed_20,2026-08-10,1786320003000,1786924791000,-316494804,-52884367,-263610437,208090230,20487740,91,13787,604923000,16885000
AAPL,5000000000,pinned_fork_costs,fixed_20,2026-08-17,1786924842000,1787529440000,-423904587,35578747,-459483334,176481437,31294460,139,12875,604649000,27920000
AAPL,5000000000,pinned_fork_costs,fixed_20,2026-08-24,1787529654000,1788134317000,321757327,86096092,235661235,992809850,41425760,184,42448,604877000,19797000
AAPL,5000000000,pinned_fork_costs,fixed_20,2026-08-31,1788134406000,1788739197000,721096714,2999133,718097581,1412824112,35572120,158,88790,604880000,8622000
AAPL,5000000000,pinned_fork_costs,fixed_20,2026-09-07,1788739208000,1789154997000,481429053,88152624,393276429,1240844745,35914894,159,78719,415800000,8879000
AAPL,5000000000,pinned_fork_costs,fixed_40,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,pinned_fork_costs,fixed_40,2026-08-03,1785715200000,1786319868000,-136321719,2891775,-139213494,136759134,6032537,27,7242,403658000,4491000
AAPL,5000000000,pinned_fork_costs,fixed_40,2026-08-10,1786320003000,1786924791000,-65492280,-52884367,-12607913,190194119,4277660,19,13787,604923000,4796000
AAPL,5000000000,pinned_fork_costs,fixed_40,2026-08-17,1786924842000,1787529440000,-173093926,35578747,-208672673,172810596,9230740,41,12875,604649000,5649000
AAPL,5000000000,pinned_fork_costs,fixed_40,2026-08-24,1787529654000,1788134317000,453737379,86096092,367641287,821447545,12832980,57,42448,604877000,5547000
AAPL,5000000000,pinned_fork_costs,fixed_40,2026-08-31,1788134406000,1788739197000,678049218,2999133,675050085,1074074654,10356440,46,88790,604880000,2150000
AAPL,5000000000,pinned_fork_costs,fixed_40,2026-09-07,1788739208000,1789154997000,463861477,88152624,375708853,902820251,12275194,54,78719,415800000,2896000
AAPL,5000000000,pinned_fork_costs,fixed_80,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,pinned_fork_costs,fixed_80,2026-08-03,1785715200000,1786319868000,-86969015,2891775,-89860790,102965444,2655437,12,7242,403658000,2616000
AAPL,5000000000,pinned_fork_costs,fixed_80,2026-08-10,1786320003000,1786924791000,-27603103,-52884367,25281264,146553138,1801120,8,13787,604923000,2233000
AAPL,5000000000,pinned_fork_costs,fixed_80,2026-08-17,1786924842000,1787529440000,-61386287,35578747,-96965034,133849356,3151960,14,12875,604649000,1913000
AAPL,5000000000,pinned_fork_costs,fixed_80,2026-08-24,1787529654000,1788134317000,478403316,86096092,392307224,542377885,2701680,12,42448,604877000,841000
AAPL,5000000000,pinned_fork_costs,fixed_80,2026-08-31,1788134406000,1788739197000,436117749,2999133,433118616,635407922,2926820,13,88790,604880000,489000
AAPL,5000000000,pinned_fork_costs,fixed_80,2026-09-07,1788739208000,1789154997000,400134107,88152624,311981483,501719062,3044454,13,78719,415800000,691000
AAPL,5000000000,pinned_fork_costs,fixed_160,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
AAPL,5000000000,pinned_fork_costs,fixed_160,2026-08-03,1785715200000,1786319868000,0,2891775,-2891775,0,0,0,7242,0,0
AAPL,5000000000,pinned_fork_costs,fixed_160,2026-08-10,1786320003000,1786924791000,30774124,-52884367,83658491,35390449,178897,1,13787,236154000,0
AAPL,5000000000,pinned_fork_costs,fixed_160,2026-08-17,1786924842000,1787529440000,87691812,35578747,52113065,78424654,225140,1,12875,604649000,84025000
AAPL,5000000000,pinned_fork_costs,fixed_160,2026-08-24,1787529654000,1788134317000,360802611,86096092,274706519,320449244,450280,2,42448,604877000,6129000
AAPL,5000000000,pinned_fork_costs,fixed_160,2026-08-31,1788134406000,1788739197000,241319233,2999133,238320100,352793170,900560,4,88790,604880000,206000
AAPL,5000000000,pinned_fork_costs,fixed_160,2026-09-07,1788739208000,1789154997000,185733308,88152624,97580684,259155270,1468474,6,78719,415800000,331000
AAPL,5000000000,pinned_fork_costs,adaptive_width,2026-07-27,1785196800000,1785196800000,0,0,0,0,0,0,0,0,0
