symbol,phase,scenario,name,netPnlQuote,alphaQuote,feesQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,drawdownPpm,averageDeploymentPpm,maximumRiskyExposurePpm,partialFeeSegments,feeApportionmentGapQuote,sourceGapMs,invalid
AAPL,development,pinned_fork_costs,fixed_20,148422629,175387686,222244763,2547931,1,10,0,935000,165414000,3024,996552,999248,0,0,0,
AAPL,development,pinned_fork_costs,fixed_40,85657262,112622319,123878659,746811,1,2,0,120000,165518000,2732,994423,997232,2,1,0,
AAPL,development,pinned_fork_costs,fixed_80,27669843,54634900,65242783,521671,1,1,0,0,165518000,3675,995437,994093,2,1,0,
AAPL,development,pinned_fork_costs,fixed_160,-1897822,25067235,33751463,296531,1,0,0,0,165518000,3566,997036,806926,0,0,0,
AAPL,development,pinned_fork_costs,adaptive_width,148422629,175387686,222244763,2547931,1,10,0,935000,165414000,3024,996552,999248,0,0,0,
AAPL,development,pinned_fork_costs,adaptive_economic,131779431,158744488,173835198,1197091,1,4,0,19216000,165414000,2336,994585,999248,2,1,0,
AAPL,development,double_gas_half_fees,fixed_20,34481598,61550251,110283346,5095862,1,10,0,935000,165414000,3406,998145,999804,0,0,0,
AAPL,development,double_gas_half_fees,fixed_40,22875752,49944405,61786451,1493622,1,2,0,120000,165518000,3506,997203,998665,2,1,0,
AAPL,development,double_gas_half_fees,fixed_80,-5463646,21605007,32609444,1043342,1,1,0,0,165518000,4178,997676,997082,2,1,0,
AAPL,development,double_gas_half_fees,fixed_160,-19054898,8013755,16875731,593062,1,0,0,0,165518000,4530,998475,807964,0,0,0,
AAPL,development,double_gas_half_fees,adaptive_width,34481598,61550251,110283346,5095862,1,10,0,935000,165414000,3406,998145,999804,0,0,0,
AAPL,development,double_gas_half_fees,adaptive_economic,43379395,70448048,86506763,2394182,1,4,0,19216000,165414000,3111,997029,999744,2,1,0,
AAPL,development,partial_mint_failure,fixed_20,134050487,161015544,217022090,3581145,3,11,2,1109000,163709000,2348,986494,999985,2,1,0,
AAPL,development,partial_mint_failure,fixed_40,85657262,112622319,123878659,746811,1,2,0,120000,165518000,2732,994423,997232,2,1,0,
AAPL,development,partial_mint_failure,fixed_80,27669843,54634900,65242783,521671,1,1,0,0,165518000,3675,995437,994093,2,1,0,
AAPL,development,partial_mint_failure,fixed_160,-1897822,25067235,33751463,296531,1,0,0,0,165518000,3566,997036,806926,0,0,0,
AAPL,development,partial_mint_failure,adaptive_width,134050487,161015544,217022090,3581145,3,11,2,1109000,163709000,2348,986494,999985,2,1,0,
AAPL,development,partial_mint_failure,adaptive_economic,131779431,158744488,173835198,1197091,1,4,0,19216000,165414000,2336,994585,999248,2,1,0,
AAPL,validation,pinned_fork_costs,fixed_20,38288881,55430316,171001498,5024471,1,21,0,1272000,86158000,13755,997047,1000407,43,6,0,
AAPL,validation,pinned_fork_costs,fixed_40,53867661,71009096,111144051,1422231,1,5,0,460000,86158000,8542,991133,1000080,4,1,0,
AAPL,validation,pinned_fork_costs,fixed_80,33066586,50208021,61119645,521671,1,1,0,25000,86158000,6612,993069,998460,2,1,0,
AAPL,validation,pinned_fork_costs,fixed_160,11855303,28996738,31886847,296531,1,0,0,0,86158000,6637,994031,818358,0,0,0,
AAPL,validation,pinned_fork_costs,adaptive_width,32911526,50052961,74463448,971951,1,3,0,316000,86158000,8837,993282,1000080,2,1,0,
AAPL,validation,pinned_fork_costs,adaptive_economic,72395013,89536448,103289749,746811,1,2,0,6794000,86158000,6216,989573,1000080,2,1,0,
AAPL,validation,double_gas_half_fees,fixed_20,-52041222,-34796191,84994861,10048942,1,21,0,1272000,86158000,16565,998437,1001538,43,3,0,
AAPL,validation,double_gas_half_fees,fixed_40,-3106764,14138267,55427937,2844462,1,5,0,460000,86158000,10506,994752,1000260,4,1,0,
AAPL,validation,double_gas_half_fees,fixed_80,1964882,19209913,30525773,1043342,1,1,0,25000,86158000,7319,995571,999283,2,1,0,
