symbol,pool,initializedAt,commonEntryAt,replayedEvents,seedBlock,databaseCrossCheck,referenceEligibleAtDiscovery,referenceReasonsAtDiscovery,forkHalfWidthTicks
AAPL,0xaae0d815ee56e4092a5e5c2911e676fea50b2d6d,2026-07-27T16:51:58Z,2026-08-05T07:43:28Z,309698,20929274,True,True,,20
GLD,0xba2f1ed4ceb2169d538d1e614d847e83c5a55913,2026-08-26T14:24:22Z,2026-08-29T00:38:36Z,240046,46656024,True,False,oracle_feed_missing;paper_equity_oracle_missing,20
GME,0xe2b46c905e12ab8e2f864e4821a4325884c1b126,2026-07-23T20:27:17Z,2026-07-28T00:00:06Z,1010197,20929274,False,True,,20
GOOGL,0x34d0dc122cf9a8eb296fc5e0d3a233625d7d19b7,2026-07-10T22:04:49Z,2026-08-04T11:24:26Z,456699,20929274,True,True,,20
LLY,0xf212d02146a897f5f686e9d629f6a73da534324a,2026-09-03T14:06:55Z,2026-09-03T14:07:57Z,96684,53474367,False,False,oracle_feed_missing;paper_equity_oracle_missing,20
NVDA,0xd4eb21209c4d6093f80b5b84f5c45cc093ea14a3,2026-07-21T11:02:06Z,2026-07-28T00:00:01Z,2404083,20929274,True,True,,20
QQQ,0xd60a5d14db690b7afad71f76b108071d7175597d,2026-08-27T14:07:32Z,2026-08-29T15:49:01Z,469156,47501593,True,False,paper_equity_reference_age_unacceptable,20
SGOV,0x6ba50150b17ffd0972915aaf04ffd5e8f4fa49b4,2026-09-02T01:25:01Z,2026-09-02T01:25:09Z,75805,52180289,False,False,oracle_feed_missing;paper_equity_oracle_missing,20
SLV,0x37ed4621d1eb3abc9e551a888e6aaf0a41f7be8e,2026-09-04T18:57:24Z,2026-09-04T19:52:03Z,34338,54495833,False,True,,20
SPCX,0xc61284332117c3fb23a2a56cceffd07f7af60029,2026-07-23T11:56:34Z,2026-07-28T00:00:17Z,1743775,20929274,False,True,,20
SPY,0xa7bb1ac63bbab0c44316e6c8c455213441689167,2026-08-12T21:07:34Z,2026-08-12T21:07:48Z,109345,34839529,True,False,paper_equity_reference_age_unacceptable,20
TSLA,0xc4f0172d6ac8dd294dd1137d047d5e1893760236,2026-07-15T21:35:24Z,2026-09-04T17:57:33Z,54037,20929274,False,True,,160
