symbol,budgetQuote,name,scenario,actions,availabilityBlockAnchored,terminalQuotesIndependentlyRecomputed,markedNavVerified,feeTokenTotalsVerified,gasVerified,weeklyAndRegimeNavVerified,invalidAt,capacityTimeMetricsIncludePostInvalidMarks,inRangeMs,above10PercentExistingMs,above100PercentExistingMs,feesQuote,modeledFeesAbove10PercentExistingQuote,modeledFeesAbove100PercentExistingQuote
AAPL,5000000000,fixed_20,pinned_fork_costs,855,True,True,True,True,True,True,,False,3135096000,3020083000,2027151000,4252360246,4085963595,1554768155
AAPL,5000000000,fixed_40,pinned_fork_costs,244,True,True,True,True,True,True,,False,3213258000,2826290000,1645342000,3373146896,3021354247,571427347
AAPL,5000000000,fixed_80,pinned_fork_costs,72,True,True,True,True,True,True,,False,3230004000,2513611000,1066549000,2111743076,1643312051,280050177
AAPL,5000000000,fixed_160,pinned_fork_costs,14,True,True,True,True,True,True,,False,2375669000,1396641000,0,1069894148,606235461,0
AAPL,5000000000,adaptive_width,pinned_fork_costs,130,True,True,True,True,True,True,,False,2386270000,1932128000,476242000,2386157228,2117873345,185963520
AAPL,5000000000,adaptive_economic,pinned_fork_costs,15,True,True,True,True,True,True,,False,581214000,580470000,181876000,430131885,423071194,37032585
AAPL,5000000000,fixed_20,double_gas_half_fees,855,True,True,True,True,True,True,,False,3135096000,2965517000,1961391000,1811757635,1704521210,550359550
AAPL,5000000000,fixed_40,double_gas_half_fees,244,True,True,True,True,True,True,,False,3213258000,2718860000,1637783000,1499633843,1319655765,277009331
AAPL,5000000000,fixed_80,double_gas_half_fees,70,True,True,True,True,True,True,,False,3230337000,2458278000,1065761000,980489918,732509113,138628986
AAPL,5000000000,fixed_160,double_gas_half_fees,14,True,True,True,True,True,True,,False,2375669000,1391465000,0,514482052,293360303,0
AAPL,5000000000,adaptive_width,double_gas_half_fees,96,True,True,True,True,True,True,,False,2389431000,1652987000,450435000,911040103,740475055,67370842
AAPL,5000000000,adaptive_economic,double_gas_half_fees,2,True,True,True,True,True,True,,False,529604000,529604000,181876000,126046302,126046302,18510411
AAPL,5000000000,fixed_20,partial_mint_failure,790,True,True,True,True,True,True,,False,2916706000,2808058000,1883897000,3573721958,3424078472,1327901963
AAPL,5000000000,fixed_40,partial_mint_failure,277,True,True,True,True,True,True,,False,3131942000,2732423000,1603556000,2940329978,2598268917,531347386
AAPL,5000000000,fixed_80,partial_mint_failure,79,True,True,True,True,True,True,,False,3206274000,2494428000,1054159000,2064481992,1624234841,279921996
AAPL,5000000000,fixed_160,partial_mint_failure,16,True,True,True,True,True,True,,False,2373118000,1395111000,0,1052869866,599193317,0
AAPL,5000000000,adaptive_width,partial_mint_failure,85,True,True,True,True,True,True,,False,2370341000,1527730000,448429000,1577434750,1092354509,133747563
AAPL,5000000000,adaptive_economic,partial_mint_failure,14,True,True,True,True,True,True,,False,578754000,577950000,181876000,410814355,403365629,37032585
AAPL,1000000000,fixed_20,pinned_fork_costs,855,True,True,True,True,True,True,,False,3135096000,2492649000,284738000,1829455092,1461155120,58525823
AAPL,1000000000,fixed_40,pinned_fork_costs,244,True,True,True,True,True,True,,False,3213258000,2233121000,0,1155573757,670645366,0
