symbol,budgetQuote,width,count,emptyBoundaryMarks,meanAbsoluteErrorQuote,baselineMeanAbsoluteErrorQuote,relativeErrorReduction,meanPredictedQuote,meanActualQuote
AAPL,250000000,20,3896,0,79811.58829568789,88140.49281314168,0.09449577885967941,95027.1930184805,96075.61858316221
AAPL,250000000,40,3896,0,49502.28259753594,50315.31391170431,0.016158724868439132,56053.54491786448,56656.98254620123
AAPL,250000000,80,3896,0,27446.965862423,27447.014373716633,1.7674524804035343e-06,29324.9227412731,30839.10728952772
AAPL,250000000,160,3896,0,14076.99794661191,14077.066735112936,4.886564958530203e-06,14841.861909650925,15820.393223819301
AAPL,1000000000,20,3896,0,270704.13090349076,299249.4866529774,0.09538982361760599,321689.1106262834,322750.2774640657
AAPL,1000000000,40,3896,0,179089.81827515402,182116.29620123203,0.016618380612868813,202786.8590862423,203885.601899384
AAPL,1000000000,80,3896,0,103767.84625256674,103767.84496919918,-1.2367680535806706e-08,110920.05544147844,116236.07109856264
AAPL,1000000000,160,3896,0,54619.28798767967,54619.310061601645,4.041413548863359e-07,57622.35112936345,61288.29928131417
AAPL,5000000000,20,2351,0,1261711.5099957464,1399205.5482773287,0.09826578979111536,1472186.9089749043,1440441.6890684816
AAPL,5000000000,40,2643,0,844274.6931517215,860914.8758986001,0.01932848788274214,949498.4010594022,936368.3465758607
AAPL,5000000000,80,2888,0,497790.5491689751,497790.2918975069,-5.168270099510408e-07,534346.9837257618,549554.2828947369
AAPL,5000000000,160,3016,0,269504.0298408488,269503.92440318305,-3.9122868439109113e-07,286829.1352785146,299538.724137931
GLD,250000000,20,1656,0,224315.2324879227,309605.46920289856,0.2754803942403268,304327.5356280193,222097.4734299517
GLD,250000000,40,1655,0,146657.63625377644,178011.51359516615,0.17613398542689057,178460.6574018127,172054.21148036254
GLD,250000000,80,1655,0,89142.46767371602,100207.41450151058,0.11042044027218928,107275.60422960726,109035.27794561934
GLD,250000000,160,1655,0,56082.67915407855,56234.77703927492,0.0027046943760468357,63563.40664652568,62530.38791540785
GLD,1000000000,20,1584,0,622442.8623737374,841257.3516414141,0.2601041035073729,887299.2178030303,701015.7253787878
GLD,1000000000,40,1584,0,446816.70075757575,526663.5789141414,0.15160888535560305,555196.4842171717,559802.0435606061
GLD,1000000000,80,1584,0,291366.0833333333,320795.8440656566,0.09173984413058639,351160.6571969697,365590.2279040404
GLD,1000000000,160,1593,0,189498.74199623353,189497.12115505335,-8.553381551569766e-06,210176.86377903327,218427.91211550534
GLD,5000000000,20,1428,0,1382071.4789915967,1883300.3725490195,0.26614389338171107,2368139.56442577,1845508.8361344538
GLD,5000000000,40,1428,0,898653.6659663866,1059013.2233893557,0.15142356476885233,1516012.2535014006,1274525.469887955
GLD,5000000000,80,1428,0,562577.3858543418,590246.818627451,0.04687773300913545,930778.2976190476,721734.631652661
GLD,5000000000,160,1437,0,330283.43493389006,330281.31454418926,-6.4199505312365794e-06,543417.1301322199,413136.0027835769
GME,250000000,20,5162,0,209847.79019759782,280005.3364974816,0.25055788999405293,258505.60344827586,185778.8736923673
GME,250000000,40,5173,0,134457.91320317032,157095.1494297313,0.14409888725868414,149748.79818287262,131593.84032476318
GME,250000000,80,5180,0,82987.1886100386,88421.34594594594,0.06145752790541511,84936.40115830116,80863.5638996139
GME,250000000,160,5187,0,48871.633314054365,48895.11586658955,0.0004802637670244267,46749.93078850974,45777.67399267399
GME,1000000000,20,4989,0,726047.1196632591,962599.5818801363,0.2457433668886975,891397.7300060132,632475.3387452395
GME,1000000000,40,4991,0,487030.1414546183,567951.5135243438,0.1424793668874641,541842.8445201362,459790.4429973953
GME,1000000000,80,4998,0,307743.2224889956,327949.08523409365,0.061612804105475316,313968.1004401761,289928.26730692276
GME,1000000000,160,5019,0,184889.95158398087,184889.48874277744,-2.5033397332332554e-06,175918.65869695158,168102.60270970312
GME,5000000000,20,4657,0,2317173.5026841313,3021661.822632596,0.23314598432947253,2904026.3860854628,2076396.3066351728
GME,5000000000,40,4682,0,1677397.719137121,1918094.6375480564,0.12548750916619203,1946082.670226399,1578982.6717214866
GME,5000000000,80,4730,0,1113342.870613108,1168318.4086680762,0.04705526990509576,1180132.0501057082,1043755.9849894291
GME,5000000000,160,4775,0,693194.209842932,693192.6427225131,-2.2607285799994995e-06,688738.2923560209,647907.4316230366
GOOGL,250000000,20,2203,0,112958.23104857013,125601.51157512482,0.10066185006852002,125166.28506581933,125083.81706763504
GOOGL,250000000,40,2204,0,69807.8221415608,70703.14065335754,0.012663065650595206,73992.42332123412,75182.3498185118
GOOGL,250000000,80,2204,0,37458.43511796733,37457.627495462795,-2.1560962573911858e-05,38671.51179673321,40213.35617059891
GOOGL,250000000,160,2208,0,19069.772192028984,19069.837409420288,3.4199238254716923e-06,19530.572010869564,20504.53713768116
