symbol,budgetQuote,scenario,name,fromAt,toAt,preBenchmarkCashWaitMs,netPnlQuote,alphaQuote,markedNavQuote,terminalCashQuote,holdTerminalCashQuote,terminalExecutable,feesQuote,gasPaidQuote,terminalExitCostQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,fullWindowMs,drawdownPpm,averageRiskyExposurePpm,maximumRiskyExposurePpm,averageDeploymentPpm,maximumLiquidityToExistingPpm,sourceGapMs,emptyLiquidityMarks,emptyBoundaryMarks,invalid
AAPL,5000000000,pinned_fork_costs,fixed_20,1785915808000,1789154997000,719008000,204149581,41315577,5205339290,5204149581,5162834004,True,4252360246,192448457,117634,192566091,1,854,0,103691000,3238787000,3958197000,285866,498037,1037414,1019279,5650190,9277000,0,0,
AAPL,5000000000,pinned_fork_costs,fixed_40,1785915808000,1789154997000,719008000,1220740149,1057906145,6224275059,6220740149,5162834004,True,3373146896,54887917,117634,55005551,1,243,0,25529000,3238787000,3958197000,90423,514681,1008391,999780,3514149,9277000,0,0,
AAPL,5000000000,pinned_fork_costs,fixed_80,1785915808000,1789154997000,719008000,1138696767,975862763,6141610933,6138696767,5162834004,True,2111743076,16163837,117634,16281471,1,71,0,8783000,3238787000,3958197000,49756,472174,1001982,994462,1776116,9277000,0,0,
AAPL,5000000000,pinned_fork_costs,fixed_160,1785915808000,1789154997000,719008000,906321088,743487084,5908315759,5906321088,5162834004,True,1069894148,3105717,117634,3223351,1,13,0,90691000,2466360000,3958197000,20602,355299,993160,753323,929637,9277000,0,0,
AAPL,5000000000,pinned_fork_costs,adaptive_width,1785915808000,1789154997000,719008000,1337519123,1174685119,6343030295,6337519123,5162834004,True,2386157228,29221957,117634,29339591,1,129,0,497404000,2883674000,3958197000,34961,519794,1003981,881987,5921475,9277000,0,0,
AAPL,5000000000,pinned_fork_costs,adaptive_economic,1785915808000,1789154997000,719008000,306869798,144035794,5307006270,5306869798,5162834004,True,430131885,3330857,117634,3448491,1,14,0,2302460000,2883674000,3958197000,34961,371871,1000356,874713,1532496,9277000,0,0,
AAPL,5000000000,double_gas_half_fees,fixed_20,1785915808000,1789154997000,719008000,-1881427286,-2044157694,3119451265,3118572714,5162730408,True,1811757635,384896914,235268,385132182,1,854,0,103691000,3238787000,3958197000,382914,514049,1123726,1052607,4987248,9277000,0,0,
AAPL,5000000000,double_gas_half_fees,fixed_40,1785915808000,1789154997000,719008000,-446554911,-609285319,4555961660,4553445089,5162730408,True,1499633843,109775834,235268,110011102,1,243,0,25529000,3238787000,3958197000,144907,517797,1023607,1007937,3189288,9277000,0,0,
AAPL,5000000000,double_gas_half_fees,fixed_80,1785915808000,1789154997000,719008000,93381110,-69349298,5095803591,5093381110,5162730408,True,980489918,31427114,235268,31662382,1,69,0,8450000,3238787000,3958197000,78577,470733,1004956,999459,1658335,9277000,0,0,
AAPL,5000000000,double_gas_half_fees,fixed_160,1785915808000,1789154997000,719008000,368522729,205792321,5370418252,5368522729,5162730408,True,514482052,6211434,235268,6446702,1,13,0,90691000,2466360000,3958197000,26495,355263,997056,757529,901866,9277000,0,0,
AAPL,5000000000,double_gas_half_fees,adaptive_width,1785915808000,1789154997000,719008000,62620224,-100110184,5065640673,5062620224,5162730408,True,911040103,43134394,235268,43369662,1,95,0,494243000,2883674000,3958197000,35586,531696,1007842,887545,5702970,9277000,0,0,
AAPL,5000000000,double_gas_half_fees,adaptive_economic,1785915808000,1789154997000,719008000,89570259,-73160149,5089828899,5089570259,5162730408,True,126046302,808074,235268,1043342,1,1,0,2354070000,2883674000,3958197000,35170,363502,999688,881746,1532496,9277000,0,0,
AAPL,5000000000,partial_mint_failure,fixed_20,1785915808000,1789154997000,719008000,375566350,212732346,5376792563,5375566350,5162834004,True,3573721958,171756524,117634,171874158,132,527,131,83268000,2999974000,3958197000,221638,491195,1032215,942003,6098840,9277000,0,0,
AAPL,5000000000,partial_mint_failure,fixed_40,1785915808000,1789154997000,719008000,935852123,773018119,5938377975,5935852123,5162834004,True,2940329978,60190359,117634,60307993,47,184,46,28344000,3160286000,3958197000,120863,498762,1009873,978106,4821548,9277000,0,0,
AAPL,5000000000,partial_mint_failure,fixed_80,1785915808000,1789154997000,719008000,1133759147,970925143,6137530098,6133759147,5162834004,True,2064481992,17138658,117634,17256292,14,52,13,11537000,3217811000,3958197000,43471,517391,1002459,989343,1791538,9277000,0,0,
AAPL,5000000000,partial_mint_failure,fixed_160,1785915808000,1789154997000,719008000,895017204,732183200,5899193739,5895017204,5162834004,True,1052869866,3463511,117634,3581145,3,11,2,90683000,2463801000,3958197000,24384,345436,1000066,752675,929637,9277000,0,0,
AAPL,5000000000,partial_mint_failure,adaptive_width,1785915808000,1789154997000,719008000,938537985,775703981,5940063316,5938537985,5162834004,True,1577434750,18443255,117634,18560889,15,56,14,492443000,2862784000,3958197000,34961,506924,1002659,876595,3049922,9277000,0,0,
AAPL,5000000000,partial_mint_failure,adaptive_economic,1785915808000,1789154997000,719008000,309164773,146330769,5309301250,5309164773,5162834004,True,410814355,3013231,117634,3130865,3,9,2,2301333000,2880087000,3958197000,34961,372233,1000346,873603,1532496,9277000,0,0,
AAPL,1000000000,pinned_fork_costs,fixed_20,1785915808000,1789154997000,719008000,657479047,623074633,1657912694,1657479047,1034404414,True,1829455092,192448457,117634,192566091,1,854,0,103691000,3238787000,3958197000,167919,526834,1118704,1077111,1557419,9277000,0,0,
AAPL,1000000000,pinned_fork_costs,fixed_40,1785915808000,1789154997000,719008000,644072000,609667586,1644845854,1644072000,1034404414,True,1155573757,54887917,117634,55005551,1,243,0,25529000,3238787000,3958197000,31959,521836,1032673,1011839,855121,9277000,0,0,
AAPL,1000000000,pinned_fork_costs,fixed_80,1785915808000,1789154997000,719008000,378869946,344465532,1379443240,1378869946,1034404414,True,581339002,17064397,117634,17182031,1,75,0,7322000,3238787000,3958197000,28281,477477,1010736,998764,571283,9277000,0,0,
AAPL,1000000000,pinned_fork_costs,fixed_160,1785915808000,1789154997000,719008000,211243335,176838921,1211913487,1211243335,1034404414,True,295323848,4906837,117634,5024471,1,21,0,1308000,3239157000,3958197000,24823,461866,1002735,990415,280770,9277000,0,0,
AAPL,1000000000,pinned_fork_costs,adaptive_width,1785915808000,1789154997000,719008000,451320645,416916231,1451869316,1451320645,1034404414,True,887163521,59615857,117634,59733491,1,264,0,45127000,3238787000,3958197000,34738,527181,1039906,1004936,1270858,9277000,0,0,
AAPL,1000000000,pinned_fork_costs,adaptive_economic,1785915808000,1789154997000,719008000,249488734,215084320,1249611562,1249488734,1034404414,True,383397982,11435897,117634,11553531,1,50,0,2628158000,3238787000,3958197000,19721,90110,1008400,985176,611844,9277000,0,0,
AAPL,1000000000,double_gas_half_fees,fixed_20,1785915808000,1789154997000,719008000,-436676490,-470977308,563713906,563323510,1034300818,True,669366850,384896914,235268,385132182,1,854,0,103691000,3238787000,3958197000,445835,624898,1688354,1277755,1202671,9277000,0,0,
AAPL,1000000000,double_gas_half_fees,fixed_40,1785915808000,1789154997000,719008000,-2568647,-36869465,998072017,997431353,1034300818,True,470967135,109775834,235268,110011102,1,243,0,25529000,3238787000,3958197000,101446,537326,1109044,1044839,716331,9277000,0,0,
AAPL,1000000000,double_gas_half_fees,fixed_80,1785915808000,1789154997000,719008000,60626663,26325845,1061210543,1060626663,1034300818,True,259039328,34128794,235268,34364062,1,75,0,7322000,3238787000,3958197000,59008,481938,1030126,1012293,513788,9277000,0,0,
AAPL,1000000000,double_gas_half_fees,fixed_160,1785915808000,1789154997000,719008000,57620505,23319687,1058333335,1057620505,1034300818,True,139203109,9813674,235268,10048942,1,21,0,1308000,3239157000,3958197000,31906,462603,1006705,998045,264759,9277000,0,0,
AAPL,1000000000,double_gas_half_fees,adaptive_width,1785915808000,1789154997000,719008000,21323608,-12977210,1021776478,1021323608,1034300818,True,207069359,42684114,235268,42919382,1,94,0,7664000,3238787000,3958197000,47397,495898,1040418,1006036,1240742,9277000,0,0,
AAPL,1000000000,double_gas_half_fees,adaptive_economic,1785915808000,1789154997000,719008000,20750700,-13550118,1020993994,1020750700,1034300818,True,31723892,808074,235268,1043342,1,1,0,2022658000,3238787000,3958197000,24402,142085,999982,981062,153694,9277000,0,0,
AAPL,1000000000,partial_mint_failure,fixed_20,1785915808000,1789154997000,719008000,511501491,477097077,1511902798,1511501491,1034404414,True,1366536372,162624345,117634,162741979,125,499,124,78600000,2920099000,3958197000,98901,520933,1109536,959943,1638349,9277000,0,0,
