symbol,pool,fee,createdBlock,inStudy,reasons
NOW,0x00ed6c6954edf77ffa945696f1eacf08edcc8d3a,10000,199942,False,20_tick_half_width_unavailable_on_grid
F,0x01948e834623aa859ffdc0d299dd15e7c9d7486f,10000,199973,False,20_tick_half_width_unavailable_on_grid
USO,0x02175608f1b5e6b5ed221ccfdc7be197d111d915,3000,12021761,False,20_tick_half_width_unavailable_on_grid
AXTI,0x0340bfc46e756f1dcc309ae43b78456885309c09,10000,33189948,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
P,0x0425c69694c9357b6f2daeb9897795fcd9c6e6cb,10000,199991,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
USAR,0x04391780f519b7d3ba59c9590459d76e23d225c4,3000,19959516,False,20_tick_half_width_unavailable_on_grid
IBM,0x05261191bc75f7bd572996bd03eaa9a26547c3c2,100,57199842,False,zero_active_liquidity
TE,0x05346c2c9378a97304f192f90fe7b23edd253067,10000,33189948,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
SOXX,0x0663e66c880e27a5ce3c4c25234ab64ead7dff67,3000,55770895,False,20_tick_half_width_unavailable_on_grid
NET,0x06abd56348164c673058dd5750812b059c054ca5,10000,33191516,False,20_tick_half_width_unavailable_on_grid
MRVL,0x06cc0b96be1fa1d754ce2e1228f5d8c616f795b0,10000,199916,False,20_tick_half_width_unavailable_on_grid
AAOI,0x078c1690865964838ae346077046750846a552d1,10000,199927,False,20_tick_half_width_unavailable_on_grid
INDA,0x07c3a3a6eeb2f122493f32418fbf136403608cb8,500,53931167,False,zero_active_liquidity
TSM,0x07e8ea83d4c1340774c8965125e26e12bf943bf1,10000,199926,False,20_tick_half_width_unavailable_on_grid
TTWO,0x0889178e5cf9408ead5d0d1e8c6ff29e113388af,10000,199961,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
GME,0x0a0675689c2ad2a3ade86539bcbd27b6c0764e9d,3000,17274273,False,20_tick_half_width_unavailable_on_grid
COST,0x0a2121a50a09ed0796ae81f9c53ff9398355a398,3000,16834694,False,20_tick_half_width_unavailable_on_grid
WDC,0x0af0268a314362fe321bdb0539aac9a1fba119fd,10000,33189941,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
PL,0x0b5de42992cc18bfe63e62f6866c7e6b32cc3c9a,10000,33189948,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
WULF,0x0c72e22d7a3ef8bb845478e5d77aec87789defc6,10000,33189941,False,20_tick_half_width_unavailable_on_grid
IREN,0x0dbe9eeea89c6ef5cd2ffcdf800e6f2548524cdb,10000,199930,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
NBIS,0x0dda7c6a2cce72abbfa88394afe407ff98417448,10000,199941,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
NU,0x0e3faed512e7909758eb924e6919e0057bd6b45e,3000,61209395,False,20_tick_half_width_unavailable_on_grid
SNAP,0x0ebd4650c9e641e9745b5a508a2d46935dfe753e,3000,52622350,False,20_tick_half_width_unavailable_on_grid
FIG,0x0f0e07a687d3210a3b9b5c40c11bce39b2674517,10000,33189948,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
LULU,0x0f4227d27082b3bca6818381b9ea6460275e49f4,3000,52861579,False,20_tick_half_width_unavailable_on_grid
SLV,0x0fa7bc480885dcf58ad2ef63ec7289cf2481d51c,10000,14297705,False,20_tick_half_width_unavailable_on_grid
PENG,0x10508f818e05193efd10a5ad360441067892551f,10000,199997,False,zero_active_liquidity;20_tick_half_width_unavailable_on_grid
META,0x107a7cb40d8665360ba10e59471af06150a50922,3000,44201893,False,20_tick_half_width_unavailable_on_grid
