window,cap,rangePolicy,kind,checkpoint,at,tokenIn,amountIn,amountOut,feeInput,feeQuote,spotShortfallQuote,impactBeyondFeeQuote
2026-09-08T03:59:29.000Z,600000,hold_range,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,600000,hold_range,exit,1604,2026-09-08T05:08:07.000Z,NVDA,2506725568930858900,583167739,1253362784465430,291730,293108,1378
2026-09-08T03:59:29.000Z,600000,hold_range,entry,1616,2026-09-08T05:20:26.000Z,USDG,450399021,1936380426674945273,225200,225200,225963,763
2026-09-08T03:59:29.000Z,600000,hold_range,exit,1648,2026-09-08T05:53:15.000Z,NVDA,2838016244782615783,658683286,1419008122391308,329507,331134,1627
2026-09-08T03:59:29.000Z,600000,hold_range,entry,1660,2026-09-08T06:05:33.000Z,USDG,458528139,1976012969358244774,229265,229265,230038,773
2026-09-08T03:59:29.000Z,600000,hold_range,exit,1674,2026-09-08T06:19:54.000Z,NVDA,2543375127791697632,589138211,1271687563895849,294717,296091,1374
2026-09-08T03:59:29.000Z,600000,hold_range,entry,1686,2026-09-08T06:32:11.000Z,USDG,300950125,1297790114927446589,150476,150476,150831,355
2026-09-08T03:59:29.000Z,600000,hold_range,exit,1712,2026-09-08T06:58:46.000Z,NVDA,2439313435554683794,564210751,1219656717777342,282247,283509,1262
2026-09-08T03:59:29.000Z,600000,hold_range,entry,1729,2026-09-08T07:16:10.000Z,USDG,349396469,1507497222448059376,174699,174699,175178,479
2026-09-08T03:59:29.000Z,600000,hold_range,exit,1763,2026-09-08T07:51:01.000Z,NVDA,2206379248945541597,510423629,1103189624472771,255340,256372,1032
2026-09-08T03:59:29.000Z,600000,preserve_tokens,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,600000,preserve_tokens,exit,1604,2026-09-08T05:08:07.000Z,NVDA,2506725568930858900,583167739,1253362784465430,291730,293108,1378
2026-09-08T03:59:29.000Z,600000,preserve_tokens,entry,1616,2026-09-08T05:20:26.000Z,USDG,450399021,1936380426674945273,225200,225200,225963,763
2026-09-08T03:59:29.000Z,600000,preserve_tokens,exit,1648,2026-09-08T05:53:15.000Z,NVDA,2838016244782615783,658683286,1419008122391308,329507,331134,1627
2026-09-08T03:59:29.000Z,600000,preserve_tokens,entry,1660,2026-09-08T06:05:33.000Z,USDG,458528139,1976012969358244774,229265,229265,230038,773
2026-09-08T03:59:29.000Z,600000,preserve_tokens,exit,1674,2026-09-08T06:19:54.000Z,NVDA,2543375127791697632,589138211,1271687563895849,294717,296091,1374
2026-09-08T03:59:29.000Z,600000,preserve_tokens,entry,1686,2026-09-08T06:32:11.000Z,USDG,300950125,1297790114927446589,150476,150476,150831,355
2026-09-08T03:59:29.000Z,600000,preserve_tokens,exit,1712,2026-09-08T06:58:46.000Z,NVDA,2439313435554683794,564210751,1219656717777342,282247,283509,1262
2026-09-08T03:59:29.000Z,600000,preserve_tokens,entry,1729,2026-09-08T07:16:10.000Z,USDG,349396469,1507497222448059376,174699,174699,175178,479
2026-09-08T03:59:29.000Z,600000,preserve_tokens,exit,1763,2026-09-08T07:51:01.000Z,NVDA,2206379248945541597,510423629,1103189624472771,255340,256372,1032
2026-09-08T03:59:29.000Z,600000,net_swap,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,600000,net_swap,exit,1604,2026-09-08T05:08:07.000Z,NVDA,2506725568930858900,583167739,1253362784465430,291730,293108,1378
2026-09-08T03:59:29.000Z,600000,net_swap,entry,1616,2026-09-08T05:20:26.000Z,USDG,450399021,1936380426674945273,225200,225200,225963,763
2026-09-08T03:59:29.000Z,600000,net_swap,exit,1648,2026-09-08T05:53:15.000Z,NVDA,2838016244782615783,658683286,1419008122391308,329507,331134,1627
2026-09-08T03:59:29.000Z,600000,net_swap,entry,1660,2026-09-08T06:05:33.000Z,USDG,458528139,1976012969358244774,229265,229265,230038,773
2026-09-08T03:59:29.000Z,600000,net_swap,exit,1674,2026-09-08T06:19:54.000Z,NVDA,2543375127791697632,589138211,1271687563895849,294717,296091,1374
2026-09-08T03:59:29.000Z,600000,net_swap,entry,1686,2026-09-08T06:32:11.000Z,USDG,300950125,1297790114927446589,150476,150476,150831,355
2026-09-08T03:59:29.000Z,600000,net_swap,exit,1712,2026-09-08T06:58:46.000Z,NVDA,2439313435554683794,564210751,1219656717777342,282247,283509,1262
2026-09-08T03:59:29.000Z,600000,net_swap,entry,1729,2026-09-08T07:16:10.000Z,USDG,349396469,1507497222448059376,174699,174699,175178,479
2026-09-08T03:59:29.000Z,600000,net_swap,exit,1763,2026-09-08T07:51:01.000Z,NVDA,2206379248945541597,510423629,1103189624472771,255340,256372,1032
2026-09-08T03:59:29.000Z,700000,hold_range,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,700000,hold_range,exit,1610,2026-09-08T05:14:17.000Z,NVDA,3075242243857211660,714920762,1537621121928606,357640,359711,2071
2026-09-08T03:59:29.000Z,700000,hold_range,entry,1622,2026-09-08T05:26:35.000Z,USDG,373911252,1606957155759720925,186956,186956,187522,566
2026-09-08T03:59:29.000Z,700000,hold_range,exit,1649,2026-09-08T05:54:16.000Z,NVDA,2860895147880534536,663962163,1430447573940268,332147,333795,1648
2026-09-08T03:59:29.000Z,700000,hold_range,entry,1661,2026-09-08T06:06:34.000Z,USDG,316556068,1364116840460270755,158279,158279,158647,368
2026-09-08T03:59:29.000Z,700000,hold_range,exit,1712,2026-09-08T06:58:46.000Z,NVDA,3164156838495152401,731865817,1582078419247577,366117,368241,2124
2026-09-08T03:59:29.000Z,700000,hold_range,entry,1729,2026-09-08T07:16:10.000Z,USDG,349751170,1509027605881343620,174876,174876,175356,480
2026-09-08T03:59:29.000Z,700000,hold_range,exit,1763,2026-09-08T07:51:01.000Z,NVDA,2208620452018467718,510942108,1104310226009234,255599,256633,1034
2026-09-08T03:59:29.000Z,700000,preserve_tokens,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,700000,preserve_tokens,exit,1610,2026-09-08T05:14:17.000Z,NVDA,3075242243857211660,714920762,1537621121928606,357640,359711,2071
2026-09-08T03:59:29.000Z,700000,preserve_tokens,entry,1622,2026-09-08T05:26:35.000Z,USDG,373911252,1606957155759720925,186956,186956,187522,566
2026-09-08T03:59:29.000Z,700000,preserve_tokens,exit,1649,2026-09-08T05:54:16.000Z,NVDA,2860895147880534536,663962163,1430447573940268,332147,333795,1648
2026-09-08T03:59:29.000Z,700000,preserve_tokens,entry,1661,2026-09-08T06:06:34.000Z,USDG,316556068,1364116840460270755,158279,158279,158647,368
2026-09-08T03:59:29.000Z,700000,preserve_tokens,exit,1712,2026-09-08T06:58:46.000Z,NVDA,3164156838495152401,731865817,1582078419247577,366117,368241,2124
2026-09-08T03:59:29.000Z,700000,preserve_tokens,entry,1729,2026-09-08T07:16:10.000Z,USDG,349751170,1509027605881343620,174876,174876,175356,480
2026-09-08T03:59:29.000Z,700000,preserve_tokens,exit,1763,2026-09-08T07:51:01.000Z,NVDA,2208620452018467718,510942108,1104310226009234,255599,256633,1034
2026-09-08T03:59:29.000Z,700000,net_swap,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,700000,net_swap,exit,1610,2026-09-08T05:14:17.000Z,NVDA,3075242243857211660,714920762,1537621121928606,357640,359711,2071
2026-09-08T03:59:29.000Z,700000,net_swap,entry,1622,2026-09-08T05:26:35.000Z,USDG,373911252,1606957155759720925,186956,186956,187522,566
2026-09-08T03:59:29.000Z,700000,net_swap,exit,1649,2026-09-08T05:54:16.000Z,NVDA,2860895147880534536,663962163,1430447573940268,332147,333795,1648
2026-09-08T03:59:29.000Z,700000,net_swap,entry,1661,2026-09-08T06:06:34.000Z,USDG,316556068,1364116840460270755,158279,158279,158647,368
2026-09-08T03:59:29.000Z,700000,net_swap,exit,1712,2026-09-08T06:58:46.000Z,NVDA,3164156838495152401,731865817,1582078419247577,366117,368241,2124
2026-09-08T03:59:29.000Z,700000,net_swap,entry,1729,2026-09-08T07:16:10.000Z,USDG,349751170,1509027605881343620,174876,174876,175356,480
2026-09-08T03:59:29.000Z,700000,net_swap,exit,1763,2026-09-08T07:51:01.000Z,NVDA,2208620452018467718,510942108,1104310226009234,255599,256633,1034
2026-09-08T03:59:29.000Z,800000,hold_range,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,800000,hold_range,exit,1763,2026-09-08T07:51:01.000Z,NVDA,3204278366258996660,741276866,1602139183129499,370824,373003,2179
2026-09-08T03:59:29.000Z,800000,preserve_tokens,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,800000,preserve_tokens,exit,1658,2026-09-08T06:03:29.000Z,NVDA,3222975400191959004,747417719,1611487700095980,373896,375952,2056
2026-09-08T03:59:29.000Z,800000,preserve_tokens,entry,1670,2026-09-08T06:15:48.000Z,USDG,367976460,1586230515115423745,183989,183989,184486,497
2026-09-08T03:59:29.000Z,800000,preserve_tokens,exit,1763,2026-09-08T07:51:01.000Z,NVDA,3159380535649504850,730890245,1579690267824753,365628,367746,2118
2026-09-08T03:59:29.000Z,800000,net_swap,entry,1539,2026-09-08T04:01:31.000Z,USDG,409435372,1756538239265587248,204718,204718,205401,683
2026-09-08T03:59:29.000Z,800000,net_swap,recenter,1614,2026-09-08T05:18:22.000Z,NVDA,1845029032948010772,428566427,922514516474006,214390,215084,694
2026-09-08T03:59:29.000Z,800000,net_swap,recenter,1662,2026-09-08T06:07:37.000Z,NVDA,1614193064296662215,374212223,807096532148332,187199,187715,516
2026-09-08T03:59:29.000Z,800000,net_swap,recenter,1713,2026-09-08T06:59:47.000Z,NVDA,1615811984019615949,373738132,807905992009808,186962,187516,554
2026-09-08T03:59:29.000Z,800000,net_swap,recenter,1730,2026-09-08T07:17:12.000Z,USDG,187123836,807361364421356884,93562,93562,93699,137
2026-09-08T03:59:29.000Z,800000,net_swap,exit,1763,2026-09-08T07:51:01.000Z,NVDA,2217486492001061980,512993172,1108743246000531,256625,257669,1044
2026-09-08T20:00:07.000Z,600000,hold_range,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,600000,hold_range,exit,2694,2026-09-09T00:00:38.000Z,NVDA,2633292621514810568,593725217,1316646310757406,297012,299171,2159
2026-09-08T20:00:07.000Z,600000,hold_range,entry,2706,2026-09-09T00:12:55.000Z,USDG,426034697,1885420458830183788,213018,213018,213908,890
2026-09-08T20:00:07.000Z,600000,hold_range,exit,3150,2026-09-09T07:51:01.000Z,NVDA,20165633980320765,4563000,10082816990161,2282,2283,1
2026-09-08T20:00:07.000Z,600000,preserve_tokens,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,600000,preserve_tokens,exit,2694,2026-09-09T00:00:38.000Z,NVDA,2633292621514810568,593725217,1316646310757406,297012,299171,2159
2026-09-08T20:00:07.000Z,600000,preserve_tokens,entry,2706,2026-09-09T00:12:55.000Z,USDG,426034697,1885420458830183788,213018,213018,213908,890
