session,allocation,status,budget,sourceAt,range,minted0,minted1,idle0,idle1,liquidity,deployedPpm
5,800000,filled,1000000000,2026-09-08T09:01:35.000Z,"{""tickLower"":221880,""tickUpper"":221920,""amount"":""333147701"",""minimum"":""1434199783339852909""}",466852299,1426028784570642534,200000000,15365987172509351,26209862110328812,796283
5,550000,filled,1000000000,2026-09-08T09:01:35.000Z,"{""tickLower"":221880,""tickUpper"":221920,""amount"":""229039044"",""minimum"":""986012738940611505""}",320960956,981197733222883132,450000000,9761562189313315,18025385683611934,547630
6,800000,filled,1000043983,2026-09-08T11:59:46.000Z,"{""tickLower"":221850,""tickUpper"":221890,""amount"":""408791139"",""minimum"":""1755236783062799084""}",391244047,1472651527674060605,200008797,291091740455538572,24073089213487905,732364
6,550000,filled,1000043983,2026-09-08T11:59:46.000Z,"{""tickLower"":221850,""tickUpper"":221890,""amount"":""281043908"",""minimum"":""1206725825292013535""}",268980282,1013344922899337379,450019793,199229108873119288,16557078904150532,503708
7,800000,filled,999967410,2026-09-08T13:12:25.000Z,"{""tickLower"":221820,""tickUpper"":221860,""amount"":""426199282"",""minimum"":""1824658833221218456""}",367040448,1833868402812925724,206727680,10,26030599564799223,793051
7,550000,filled,999967410,2026-09-08T13:12:25.000Z,"{""tickLower"":221820,""tickUpper"":221860,""amount"":""293012006"",""minimum"":""1254453813700575710""}",251988281,1260785397174766056,454967123,55,17884488770199404,544871
8,800000,filled,995136631,2026-09-08T14:25:17.000Z,"{""tickLower"":221980,""tickUpper"":222020,""amount"":""336400789"",""minimum"":""1462792390067693229""}",53940981,1472736442819151840,604794861,62,12921811828230486,392079
8,550000,filled,995136631,2026-09-08T14:25:17.000Z,"{""tickLower"":221980,""tickUpper"":222020,""amount"":""231275543"",""minimum"":""1005670540255540295""}",36947632,1012507197564978567,726913456,26,8879222089797694,269417
9,800000,filled,992872139,2026-09-08T15:23:32.000Z,"{""tickLower"":222040,""tickUpper"":222080,""amount"":""427425005"",""minimum"":""1870647319506592741""}",93387809,1882184868234323533,472059325,79,17290667497577852,524335
9,550000,filled,992872139,2026-09-08T15:23:32.000Z,"{""tickLower"":222040,""tickUpper"":222080,""amount"":""293854691"",""minimum"":""1286071172739463848""}",63991940,1294003354990239493,635025508,101,11880296277195004,360267
10,800000,filled,991996569,2026-09-08T15:46:05.000Z,"{""tickLower"":222040,""tickUpper"":222080,""amount"":""470997333"",""minimum"":""2061800346172830167""}",176328687,2073285027072685323,344670549,4,21485626654250600,652309
10,550000,filled,991996569,2026-09-08T15:46:05.000Z,"{""tickLower"":222040,""tickUpper"":222080,""amount"":""323810666"",""minimum"":""1417489069705348178""}",120937928,1425384795606070718,547247975,5,14761814374091485,448172
11,800000,filled,990035106,2026-09-08T16:04:32.000Z,"{""tickLower"":222070,""tickUpper"":222110,""amount"":""325234046"",""minimum"":""1426953663855141277""}",441740379,1434204636506410483,223060681,26,25481135139390175,774529
11,550000,filled,990035106,2026-09-08T16:04:32.000Z,"{""tickLower"":222070,""tickUpper"":222110,""amount"":""223598407"",""minimum"":""981031079941700684""}",303420956,986016125867419614,463015743,35,17509127027577155,532210
12,800000,filled,988551911,2026-09-08T16:30:11.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""352698474"",""minimum"":""1550768849015751304""}",438143054,1529890474392380615,197710383,28648804008588708,26085315356871825,793265
12,550000,filled,988551911,2026-09-08T16:30:11.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""242480201"",""minimum"":""1066154325207174061""}",301223350,1053287161510574326,444848360,18209337609053452,17944845912182980,545710
13,800000,filled,989511551,2026-09-08T18:37:02.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""337308353"",""minimum"":""1482983252407590502""}",454300887,1419337602177244484,197902311,71031411754903334,25790958821489455,783590
13,550000,filled,989511551,2026-09-08T18:37:02.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""231899493"",""minimum"":""1019551550639862492""}",312331860,976903937745232306,445280198,47725326742130531,17739631317556202,538972
14,800000,filled,988618471,2026-09-08T19:08:45.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""466075378"",""minimum"":""2052498951874987843""}",324819398,2057497653576681373,197723695,5319011196469513,26281915468664208,798548
14,550000,filled,988618471,2026-09-08T19:08:45.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""320426823"",""minimum"":""1411094078195899777""}",223313336,1416701310447286836,444878312,1486200639155515,18085143630908153,549497
15,800000,filled,986819587,2026-09-08T19:31:20.000Z,"{""tickLower"":222110,""tickUpper"":222150,""amount"":""424457083"",""minimum"":""1870702655611097498""}",290708587,1880534279309496255,271653917,38,23813686843433483,724501
15,550000,filled,986819587,2026-09-08T19:31:20.000Z,"{""tickLower"":222110,""tickUpper"":222150,""amount"":""291814244"",""minimum"":""1286109327836102999""}",199457586,1292868575854151093,495547757,55,16358443817496938,497684
16,800000,filled,986144946,2026-09-08T19:53:55.000Z,"{""tickLower"":222110,""tickUpper"":222150,""amount"":""435257117"",""minimum"":""1918409240108584391""}",353658839,1695431688636900545,197228990,232382789030064558,24519260186914040,746600
16,550000,filled,986144946,2026-09-08T19:53:55.000Z,"{""tickLower"":222110,""tickUpper"":222150,""amount"":""299239268"",""minimum"":""1318907672385811009""}",243140452,1167949062233502952,443765226,157424717230584656,16874575305438680,513823
17,800000,filled,984699163,2026-09-08T20:10:19.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""391784068"",""minimum"":""1724700555888724426""}",395975262,1636384422427990739,196939833,96890420351342243,25484238963746953,777570
17,550000,filled,984699163,2026-09-08T20:10:19.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""269351546"",""minimum"":""1185732534783051041""}",272232993,1126555200770658652,443114624,65072066382129348,17532001215930660,534933
18,800000,filled,983543123,2026-09-08T20:38:00.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""490300333"",""minimum"":""2159472089084516849""}",287912334,2170394620002031022,205330456,81,25901921361121305,790983
18,550000,filled,983543123,2026-09-08T20:38:00.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""337081479"",""minimum"":""1484638341664831973""}",197574259,1492147588167933119,448887385,33,17795412506201549,543429
19,800000,filled,982735585,2026-09-08T21:45:36.000Z,"{""tickLower"":222110,""tickUpper"":222150,""amount"":""334699120"",""minimum"":""1474455110066409517""}",451489348,1470002323511924702,196547117,11855317686021678,26082627670775362,797105
19,550000,filled,982735585,2026-09-08T21:45:36.000Z,"{""tickLower"":222110,""tickUpper"":222150,""amount"":""230105644"",""minimum"":""1013688479513710102""}",310398927,1011843043759909084,442231014,6934678874211467,17940950244528834,548289
20,800000,filled,981039753,2026-09-09T00:11:52.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""446723317"",""minimum"":""1967118594953581118""}",338108485,1949665098255804120,196207951,27319197478310873,25913603600164095,793482
20,550000,filled,981039753,2026-09-09T00:11:52.000Z,"{""tickLower"":222100,""tickUpper"":222140,""amount"":""307122281"",""minimum"":""1352394960504723661""}",232449583,1342266550366492420,441467889,16911084065841758,17829675256335428,545949
21,800000,filled,979842038,2026-09-09T01:01:08.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""471075894"",""minimum"":""2072543575971423754""}",312797736,2042851782966387397,195968408,40076392088207815,25774067274886132,790512
21,550000,filled,979842038,2026-09-09T01:01:08.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""323864677"",""minimum"":""1424874743442930818""}",215048443,1406589120865630596,440928918,25425039625157650,17735681358828190,543968
22,800000,filled,979595025,2026-09-09T02:29:27.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""367315765"",""minimum"":""1615186956223330755""}",408946551,1623337201913213461,203332709,61,25817154582736118,792243
22,550000,filled,979595025,2026-09-09T02:29:27.000Z,"{""tickLower"":222090,""tickUpper"":222130,""amount"":""252529588"",""minimum"":""1110441613078427000""}",280854746,1116044909926400041,446210691,23,17739451120375992,544365
23,800000,filled,978803647,2026-09-09T03:00:12.000Z,"{""tickLower"":222080,""tickUpper"":222120,""amount"":""481095568"",""minimum"":""2114624708527446857""}",301947349,2113960155812099556,195760730,11288148089058306,25950793992780116,797143
