session,allocation,budget,horizonMinutes,profile,guards,startAt,endAt,net,pnl,hold,alpha,fees,gas,maxExposurePpm,outsideSeconds,holdingSeconds,exitReason,exitAt,exitTick,error,baselineNet,delta,baselineExitReason,baselineFees,baselineHoldingSeconds,baselineOutsideSeconds
5,550000,1000000000,30,recorded_session,inventory_only,2026-09-08T09:01:35.000Z,2026-09-08T09:32:17.000Z,999420225,-579775,999782240,-362015,459818,869274,362226,0,1842,,,,,999550879,-130654,,668171,1842,0
5,550000,1000000000,30,recorded_session,legacy_checkpoints,2026-09-08T09:01:35.000Z,2026-09-08T09:32:17.000Z,999420225,-579775,999782240,-362015,459818,869274,362226,0,1842,,,,,999550879,-130654,,668171,1842,0
5,550000,1000000000,30,fresh55_common,inventory_only,2026-09-08T09:01:35.000Z,2026-09-08T09:32:17.000Z,999844302,-155698,999859001,-14699,459818,445197,362073,0,1842,,,,,999974956,-130654,,668171,1842,0
5,550000,1000000000,30,fresh55_common,legacy_checkpoints,2026-09-08T09:01:35.000Z,2026-09-08T09:32:17.000Z,999844302,-155698,999859001,-14699,459818,445197,362073,0,1842,,,,,999974956,-130654,,668171,1842,0
5,550000,1000000000,120,recorded_session,inventory_only,2026-09-08T09:01:35.000Z,2026-09-08T11:02:25.000Z,999811858,-188142,1000084157,-272299,615260,869274,362226,4611,7250,,,,,1000120681,-308823,,894097,7250,4611
5,550000,1000000000,120,recorded_session,legacy_checkpoints,2026-09-08T09:01:35.000Z,2026-09-08T11:02:25.000Z,999757571,-242429,1000084157,-326586,545187,869274,362226,2581,4791,historical_guard,2026-09-08T10:21:26.000Z,221858,,1000042402,-284831,historical_guard,792249,4791,2581
5,550000,1000000000,120,fresh55_common,inventory_only,2026-09-08T09:01:35.000Z,2026-09-08T11:02:25.000Z,1000235935,235935,1000160918,75017,615260,445197,362073,4611,7250,,,,,1000544758,-308823,,894097,7250,4611
5,550000,1000000000,120,fresh55_common,legacy_checkpoints,2026-09-08T09:01:35.000Z,2026-09-08T11:02:25.000Z,1000181648,181648,1000160918,20730,545187,445197,362073,2581,4791,historical_guard,2026-09-08T10:21:26.000Z,221858,,1000466479,-284831,historical_guard,792249,4791,2581
5,550000,1000000000,360,recorded_session,inventory_only,2026-09-08T09:01:35.000Z,2026-09-08T15:02:06.000Z,993125085,-6874915,996407385,-3282300,2019117,869274,550276,15181,21631,,,,,1000783386,-7658301,inventory_cap,2806123,16901,10574
5,550000,1000000000,360,recorded_session,legacy_checkpoints,2026-09-08T09:01:35.000Z,2026-09-08T15:02:06.000Z,999757571,-242429,996407385,3350186,545187,869274,362226,2581,4791,historical_guard,2026-09-08T10:21:26.000Z,221858,,1000042402,-284831,historical_guard,792249,4791,2581
5,550000,1000000000,360,fresh55_common,inventory_only,2026-09-08T09:01:35.000Z,2026-09-08T15:02:06.000Z,993549162,-6450838,996484146,-2934984,2019117,445197,550043,15181,21631,,,,,1001207463,-7658301,inventory_cap,2806123,16901,10574
5,550000,1000000000,360,fresh55_common,legacy_checkpoints,2026-09-08T09:01:35.000Z,2026-09-08T15:02:06.000Z,1000181648,181648,996484146,3697502,545187,445197,362073,2581,4791,historical_guard,2026-09-08T10:21:26.000Z,221858,,1000466479,-284831,historical_guard,792249,4791,2581
6,550000,1000043983,30,recorded_session,inventory_only,2026-09-08T11:59:46.000Z,2026-09-08T12:30:27.000Z,999329053,-714930,999945665,-616612,200505,835229,316928,0,1841,,,,,999383249,-54196,,291415,1841,0
6,550000,1000043983,30,recorded_session,legacy_checkpoints,2026-09-08T11:59:46.000Z,2026-09-08T12:30:27.000Z,999329053,-714930,999945665,-616612,200505,835229,316928,0,1841,,,,,999383249,-54196,,291415,1841,0
6,550000,1000043983,30,fresh55_common,inventory_only,2026-09-08T11:59:46.000Z,2026-09-08T12:30:27.000Z,999719085,-324898,1000016366,-297281,200505,445197,316804,0,1841,,,,,999773281,-54196,,291415,1841,0
6,550000,1000043983,30,fresh55_common,legacy_checkpoints,2026-09-08T11:59:46.000Z,2026-09-08T12:30:27.000Z,999719085,-324898,1000016366,-297281,200505,445197,316804,0,1841,,,,,999773281,-54196,,291415,1841,0
6,550000,1000043983,120,recorded_session,inventory_only,2026-09-08T11:59:46.000Z,2026-09-08T14:00:39.000Z,995310410,-4733573,997489444,-2179034,677247,835229,549573,4430,7253,,,,,997547354,-2236944,inventory_cap,984009,5842,3019
6,550000,1000043983,120,recorded_session,legacy_checkpoints,2026-09-08T11:59:46.000Z,2026-09-08T14:00:39.000Z,999729917,-314066,997489444,2240473,335971,835229,316928,862,3623,historical_guard,2026-09-08T13:00:09.000Z,221840,,999966796,-236879,historical_guard,488302,3623,862
6,550000,1000043983,120,fresh55_common,inventory_only,2026-09-08T11:59:46.000Z,2026-09-08T14:00:39.000Z,995700442,-4343541,997560145,-1859703,677247,445197,549358,4430,7253,,,,,997937386,-2236944,inventory_cap,984009,5842,3019
6,550000,1000043983,120,fresh55_common,legacy_checkpoints,2026-09-08T11:59:46.000Z,2026-09-08T14:00:39.000Z,1000119949,75966,997560145,2559804,335971,445197,316804,862,3623,historical_guard,2026-09-08T13:00:09.000Z,221840,,1000356828,-236879,historical_guard,488302,3623,862
6,550000,1000043983,360,recorded_session,inventory_only,2026-09-08T11:59:46.000Z,2026-09-08T18:00:16.000Z,986465941,-13578042,992974360,-6508419,677247,835229,549573,18807,21630,,,,,997547354,-11081413,inventory_cap,984009,5842,3019
6,550000,1000043983,360,recorded_session,legacy_checkpoints,2026-09-08T11:59:46.000Z,2026-09-08T18:00:16.000Z,999729917,-314066,992974360,6755557,335971,835229,316928,862,3623,historical_guard,2026-09-08T13:00:09.000Z,221840,,999966796,-236879,historical_guard,488302,3623,862
6,550000,1000043983,360,fresh55_common,inventory_only,2026-09-08T11:59:46.000Z,2026-09-08T18:00:16.000Z,986855973,-13188010,993045061,-6189088,677247,445197,549358,18807,21630,,,,,997937386,-11081413,inventory_cap,984009,5842,3019
6,550000,1000043983,360,fresh55_common,legacy_checkpoints,2026-09-08T11:59:46.000Z,2026-09-08T18:00:16.000Z,1000119949,75966,993045061,7074888,335971,445197,316804,862,3623,historical_guard,2026-09-08T13:00:09.000Z,221840,,1000356828,-236879,historical_guard,488302,3623,862
7,550000,999967410,30,recorded_session,inventory_only,2026-09-08T13:12:25.000Z,2026-09-08T13:43:16.000Z,995977770,-3989640,997658225,-1680455,778723,816984,543871,554,1851,,,,,995133038,844732,inventory_cap,1132302,1421,124
7,550000,999967410,30,recorded_session,legacy_checkpoints,2026-09-08T13:12:25.000Z,2026-09-08T13:43:16.000Z,995977770,-3989640,997658225,-1680455,778723,816984,543871,554,1851,,,,,995133038,844732,inventory_cap,1132302,1421,124
7,550000,999967410,30,fresh55_common,inventory_only,2026-09-08T13:12:25.000Z,2026-09-08T13:43:16.000Z,996349557,-3617853,997725767,-1376210,778723,445197,543668,554,1851,,,,,995504825,844732,inventory_cap,1132302,1421,124
7,550000,999967410,30,fresh55_common,legacy_checkpoints,2026-09-08T13:12:25.000Z,2026-09-08T13:43:16.000Z,996349557,-3617853,997725767,-1376210,778723,445197,543668,554,1851,,,,,995504825,844732,inventory_cap,1132302,1421,124
7,550000,999967410,120,recorded_session,inventory_only,2026-09-08T13:12:25.000Z,2026-09-08T15:13:20.000Z,989229050,-10738360,994033207,-4804157,778723,816984,543871,5958,7255,,,,,995133038,-5903988,inventory_cap,1132302,1421,124
7,550000,999967410,120,recorded_session,legacy_checkpoints,2026-09-08T13:12:25.000Z,2026-09-08T15:13:20.000Z,989229050,-10738360,994033207,-4804157,778723,816984,543871,5958,7255,,,,,995133038,-5903988,inventory_cap,1132302,1421,124
7,550000,999967410,120,fresh55_common,inventory_only,2026-09-08T13:12:25.000Z,2026-09-08T15:13:20.000Z,989600837,-10366573,994100749,-4499912,778723,445197,543668,5958,7255,,,,,995504825,-5903988,inventory_cap,1132302,1421,124
7,550000,999967410,120,fresh55_common,legacy_checkpoints,2026-09-08T13:12:25.000Z,2026-09-08T15:13:20.000Z,989600837,-10366573,994100749,-4499912,778723,445197,543668,5958,7255,,,,,995504825,-5903988,inventory_cap,1132302,1421,124
7,550000,999967410,360,recorded_session,inventory_only,2026-09-08T13:12:25.000Z,2026-09-08T19:14:55.000Z,984350316,-15617094,991412621,-7062305,778723,816984,543871,20453,21750,,,,,995133038,-10782722,inventory_cap,1132302,1421,124
7,550000,999967410,360,recorded_session,legacy_checkpoints,2026-09-08T13:12:25.000Z,2026-09-08T19:14:55.000Z,987581736,-12385674,991412621,-3830885,778723,816984,543871,7125,8422,historical_guard,2026-09-08T15:32:47.000Z,222067,,995133038,-7551302,inventory_cap,1132302,1421,124
7,550000,999967410,360,fresh55_common,inventory_only,2026-09-08T13:12:25.000Z,2026-09-08T19:14:55.000Z,984722103,-15245307,991480163,-6758060,778723,445197,543668,20453,21750,,,,,995504825,-10782722,inventory_cap,1132302,1421,124
7,550000,999967410,360,fresh55_common,legacy_checkpoints,2026-09-08T13:12:25.000Z,2026-09-08T19:14:55.000Z,987953523,-12013887,991480163,-3526640,778723,445197,543668,7125,8422,historical_guard,2026-09-08T15:32:47.000Z,222067,,995504825,-7551302,inventory_cap,1132302,1421,124
8,550000,995136631,30,recorded_session,inventory_only,2026-09-08T14:25:17.000Z,2026-09-08T14:56:00.000Z,993219074,-1917557,994134207,-915133,38274,854380,269696,1471,1843,,,,,992734453,484621,,55679,1843,1471
