horizonMinutes,regime,start,end,day,startCheckpoint,endCheckpoint,minutes,maxCheckpointGapSeconds,startTick,endTick,minTick,maxTick,absoluteReturnPct,returnPct,endpointTicks,peakExcursionTicks,downPriceTicks,upPriceTicks,swaps,volumeUsdg,cross10,cross20,cross30,cross40,cross50
30,weekend,2026-09-05T12:32:48.000Z,2026-09-05T13:07:45.000Z,2026-09-05,1,8,34.95,412.0,221905,221903,221902,221906,0.02008637913006872,0.02008637913006872,2,3,1,3,6652,883459.9751540001,False,False,False,False,False
30,weekend,2026-09-05T13:07:45.000Z,2026-09-05T13:38:28.000Z,2026-09-05,8,14,30.716666666666665,310.0,221903,221898,221895,221903,0.048831155116801916,0.048831155116801916,5,8,0,8,7436,926864.969456,False,False,False,False,False
30,weekend,2026-09-05T13:38:28.000Z,2026-09-05T14:08:51.000Z,2026-09-05,14,20,30.383333333333333,309.0,221898,221895,221895,221899,0.02743092712313988,0.02743092712313988,3,3,1,3,4937,729511.422392,False,False,False,False,False
30,weekend,2026-09-05T14:08:51.000Z,2026-09-05T14:39:37.000Z,2026-09-05,20,26,30.766666666666666,311.0,221895,221888,221888,221895,0.06841653827187599,0.06841653827187599,7,7,0,7,9746,1241275.32638,False,False,False,False,False
30,weekend,2026-09-05T14:39:37.000Z,2026-09-05T15:10:21.000Z,2026-09-05,26,32,30.733333333333334,310.0,221888,221886,221885,221889,0.025281121119102856,0.025281121119102856,2,3,1,3,3781,631987.6445190001,False,False,False,False,False
30,weekend,2026-09-05T15:41:10.000Z,2026-09-05T16:11:59.000Z,2026-09-05,37,43,30.816666666666666,314.0,221882,221885,221882,221885,0.035423308896964656,-0.035423308896964656,3,3,3,0,2730,457363.976577,False,False,False,False,False
30,weekend,2026-09-05T16:11:59.000Z,2026-09-05T16:42:54.000Z,2026-09-05,43,49,30.916666666666668,312.0,221885,221879,221874,221887,0.06304772929068836,0.06304772929068836,6,11,2,11,1846,1125252.895709,True,False,False,False,False
30,weekend,2026-09-05T17:28:57.000Z,2026-09-05T17:59:30.000Z,2026-09-05,53,59,30.55,311.0,221880,221879,221879,221883,0.00928853752930614,0.00928853752930614,1,3,3,1,2223,400242.159623,False,False,False,False,False
30,weekend,2026-09-05T18:09:44.000Z,2026-09-05T18:40:28.000Z,2026-09-05,60,66,30.733333333333334,314.0,221880,221888,221880,221889,0.08313295535090637,-0.08313295535090637,8,9,9,0,1391,306107.75243,False,False,False,False,False
30,weekend,2026-09-05T18:40:28.000Z,2026-09-05T19:11:09.000Z,2026-09-05,66,72,30.683333333333334,311.0,221888,221889,221888,221891,0.006453973873621344,-0.006453973873621344,1,3,3,0,1713,294970.41068300005,False,False,False,False,False
30,weekend,2026-09-05T19:11:09.000Z,2026-09-05T19:41:57.000Z,2026-09-05,72,78,30.8,313.0,221889,221889,221883,221889,0.0011095987513809469,-0.0011095987513809469,0,6,0,6,3388,522638.375095,False,False,False,False,False
30,weekend,2026-09-05T19:41:57.000Z,2026-09-05T20:13:01.000Z,2026-09-05,78,84,31.066666666666666,313.0,221889,221890,221889,221892,0.013695267474111983,-0.013695267474111983,1,3,3,0,1222,194592.15126200003,False,False,False,False,False
30,weekend,2026-09-05T20:13:01.000Z,2026-09-05T20:43:46.000Z,2026-09-05,84,90,30.75,312.0,221890,221891,221888,221892,0.0075561900110932,-0.0075561900110932,1,2,2,2,1954,262652.84854000004,False,False,False,False,False
30,weekend,2026-09-05T20:43:46.000Z,2026-09-05T21:14:30.000Z,2026-09-05,90,96,30.733333333333334,312.0,221891,221891,221889,221892,0.004729773251288538,-0.004729773251288538,0,2,1,2,967,213393.798482,False,False,False,False,False
30,weekend,2026-09-05T21:14:30.000Z,2026-09-05T21:45:29.000Z,2026-09-05,96,102,30.983333333333334,314.0,221891,221891,221890,221892,0.006530706227314553,0.006530706227314553,0,1,1,1,1313,184086.06567,False,False,False,False,False
30,weekend,2026-09-05T22:11:07.000Z,2026-09-05T22:42:33.000Z,2026-09-05,106,112,31.433333333333334,320.0,221888,221888,221886,221889,0.0010403966152150446,-0.0010403966152150446,0,2,1,2,3355,396061.90507,False,False,False,False,False
30,weekend,2026-09-05T22:42:33.000Z,2026-09-05T23:13:52.000Z,2026-09-05,112,118,31.316666666666666,320.0,221888,221886,221885,221888,0.01628942470466299,0.01628942470466299,2,3,0,3,5633,706987.151571,False,False,False,False,False
30,weekend,2026-09-05T23:13:52.000Z,2026-09-05T23:45:12.000Z,2026-09-05,118,124,31.333333333333332,320.0,221886,221883,221882,221886,0.027779365690960844,0.027779365690960844,3,4,0,4,1165,248849.223659,False,False,False,False,False
30,weekend,2026-09-06T00:06:02.000Z,2026-09-06T00:37:25.000Z,2026-09-05,127,133,31.383333333333333,320.0,221885,221888,221885,221889,0.03513047180124795,-0.03513047180124795,3,4,4,0,535,145121.360722,False,False,False,False,False
30,weekend,2026-09-06T00:37:25.000Z,2026-09-06T01:07:54.000Z,2026-09-05,133,139,30.483333333333334,308.0,221888,221886,221886,221888,0.023438176802770272,0.023438176802770272,2,2,0,2,1514,226620.26697799997,False,False,False,False,False
30,weekend,2026-09-06T01:07:54.000Z,2026-09-06T01:38:37.000Z,2026-09-05,139,145,30.716666666666665,311.0,221886,221884,221884,221886,0.014887124317719547,0.014887124317719547,2,2,0,2,1022,140342.787422,False,False,False,False,False
