key,n,available,meanDelta,medianDelta,worstDelta,bestDelta,wins,recenterFills,trimFills,rejections,meanGas,meanFees,maxExposurePpm
500000/30/frozen_session6/1000000/0/guard60,19,19,0,0,0,0,0,0,0,0,0.333297,0.22392826315789477,793091
500000/30/frozen_session6/1000000/0/exit_early,19,19,-0.03589694736842106,0.171238,-1.108612,0.70902,11,0,0,0,0.333297,0.014885894736842107,618325
500000/30/frozen_session6/1000000/0/recenter60,19,19,-0.07255826315789474,0,-0.833873,0.092438,1,3,0,15,0.43388842105263165,0.23910399999999998,793091
500000/30/frozen_session6/1000000/0/trim25,19,19,-0.021003947368421046,-0.063573,-0.523928,1.728567,3,0,13,5,0.5247787894736843,0.3195069473684211,793091
500000/30/frozen_session6/1000000/0/hold80,19,19,0.06155173684210526,0,-2.226485,2.528129,6,0,0,0,0.333297,0.40060131578947367,796827
500000/30/frozen_session6/1000000/600/recenter60,19,19,-0.06162215789473684,0,-0.637172,0.092438,1,3,0,9,0.43388842105263165,0.2335392105263158,793091
500000/30/frozen_session6/500000/0/guard60,19,19,0,0,0,0,0,0,0,0,0.333297,0.11195994736842108,793083
500000/30/frozen_session6/500000/0/exit_early,19,19,0.06859742105263163,0.20828,-0.839247,0.749106,13,0,0,0,0.333297,0.007442473684210527,618319
500000/30/frozen_session6/500000/0/recenter60,19,19,-0.08014684210526316,0,-0.886764,0.001772,1,3,0,15,0.43388842105263165,0.11954768421052633,793083
500000/30/frozen_session6/500000/0/trim25,19,19,-0.06878999999999999,-0.112919,-0.555984,1.375488,3,0,13,5,0.5247787894736843,0.15974757894736843,793083
500000/30/frozen_session6/500000/0/hold80,19,19,-0.026761684210526354,0,-2.227727,2.048601,5,0,0,0,0.333297,0.2002948421052632,796818
500000/30/frozen_session6/500000/600/recenter60,19,19,-0.06643031578947368,0,-0.637798,0.001772,1,3,0,9,0.43388842105263165,0.11676536842105265,793083
500000/30/source_block_54/1000000/0/guard60,19,19,0,0,0,0,0,0,0,0,1.124903,0.22392826315789477,793740
500000/30/source_block_54/1000000/0/exit_early,19,19,-0.03589694736842106,0.171238,-1.108612,0.70902,11,0,0,0,1.124903,0.014885894736842107,618829
500000/30/source_block_54/1000000/0/recenter60,19,19,-0.29282157894736843,0,-2.228874,0,0,3,0,15,1.445757736842105,0.23910399999999998,793740
500000/30/source_block_54/1000000/0/trim25,19,19,-0.49874231578947376,-0.761806,-1.222161,1.030334,1,0,13,5,1.7941231578947363,0.3195069473684211,793740
500000/30/source_block_54/1000000/0/hold80,19,19,0.06155173684210526,0,-2.226485,2.528129,6,0,0,0,1.124903,0.40060131578947367,797487
500000/30/source_block_54/1000000/600/recenter60,19,19,-0.2818854736842105,0,-2.032173,0,0,3,0,9,1.445757736842105,0.2335392105263158,793740
500000/30/source_block_54/500000/0/guard60,19,19,0,0,0,0,0,0,0,0,1.124903,0.11195994736842108,793732
500000/30/source_block_54/500000/0/exit_early,19,19,0.06859742105263163,0.20828,-0.839247,0.749106,13,0,0,0,1.124903,0.007442473684210527,618823
500000/30/source_block_54/500000/0/recenter60,19,19,-0.30041015789473685,0,-2.281765,0,0,3,0,15,1.445757736842105,0.11954768421052633,793732
500000/30/source_block_54/500000/0/trim25,19,19,-0.5465283684210526,-0.811152,-1.254217,0.677255,1,0,13,5,1.7941231578947363,0.15974757894736843,793732
500000/30/source_block_54/500000/0/hold80,19,19,-0.026761684210526354,0,-2.227727,2.048601,5,0,0,0,1.124903,0.2002948421052632,797479
500000/30/source_block_54/500000/600/recenter60,19,19,-0.2866936315789474,0,-2.032799,0,0,3,0,9,1.445757736842105,0.11676536842105265,793732
500000/120/frozen_session6/1000000/0/guard60,17,17,0,0,0,0,0,0,0,0,0.333297,0.3863405882352941,793091
500000/120/frozen_session6/1000000/0/exit_early,17,17,-0.21818241176470585,0.244768,-1.61806,0.70902,11,0,0,0,0.333297,0.012725117647058824,618325
500000/120/frozen_session6/1000000/0/recenter60,17,17,-0.08093811764705883,0,-0.833873,0.092438,1,3,0,13,0.44572270588235297,0.40365623529411765,793091
500000/120/frozen_session6/1000000/0/trim25,17,17,0.06686458823529413,0,-0.691518,1.921875,5,0,12,4,0.5308438235294117,0.5544158823529413,793091
500000/120/frozen_session6/1000000/0/hold80,17,17,0.35107564705882355,0,-1.751465,2.792509,8,0,0,0,0.333297,0.7114380588235294,796827
500000/120/frozen_session6/1000000/600/recenter60,17,17,-0.03476329411764706,0,-0.634513,0.092438,1,3,0,9,0.44572270588235297,0.42113782352941176,793091
500000/120/frozen_session6/500000/0/guard60,17,17,0,0,0,0,0,0,0,0,0.333297,0.19316123529411766,793083
500000/120/frozen_session6/500000/0/exit_early,17,17,-0.031389529411764705,0.301912,-1.172282,0.749106,11,0,0,0,0.333297,0.0063621176470588245,618319
500000/120/frozen_session6/500000/0/recenter60,17,17,-0.08959676470588233,0,-0.886764,0.001772,1,3,0,13,0.44572270588235297,0.2018189411764706,793083
500000/120/frozen_session6/500000/0/trim25,17,17,-0.0171479411764706,0,-0.578462,1.362266,4,0,12,4,0.5308438235294117,0.2771934117647059,793083
500000/120/frozen_session6/500000/0/hold80,17,17,0.18857600000000002,0,-1.767551,2.037754,8,0,0,0,0.333297,0.3557048235294117,796818
500000/120/frozen_session6/500000/600/recenter60,17,17,-0.05216570588235294,0,-0.638153,0.001772,1,3,0,9,0.44572270588235297,0.2105584117647059,793083
500000/120/source_block_54/1000000/0/guard60,17,17,0,0,0,0,0,0,0,0,1.124903,0.3863405882352941,793740
500000/120/source_block_54/1000000/0/exit_early,17,17,-0.21818241176470585,0.244768,-1.61806,0.70902,11,0,0,0,1.124903,0.012725117647058824,618829
500000/120/source_block_54/1000000/0/recenter60,17,17,-0.32711476470588235,0,-2.228874,0,0,3,0,13,1.4835053529411764,0.40365623529411765,793740
500000/120/source_block_54/1000000/0/trim25,17,17,-0.42600576470588236,-0.294873,-1.389751,1.223642,3,0,12,4,1.8153201764705875,0.5544158823529413,793740
500000/120/source_block_54/1000000/0/hold80,17,17,0.35107564705882355,0,-1.751465,2.792509,8,0,0,0,1.124903,0.7114380588235294,797487
500000/120/source_block_54/1000000/600/recenter60,17,17,-0.2809399411764706,0,-2.029514,0,0,3,0,9,1.4835053529411764,0.42113782352941176,793740
500000/120/source_block_54/500000/0/guard60,17,17,0,0,0,0,0,0,0,0,1.124903,0.19316123529411766,793732
500000/120/source_block_54/500000/0/exit_early,17,17,-0.031389529411764705,0.301912,-1.172282,0.749106,11,0,0,0,1.124903,0.0063621176470588245,618823
500000/120/source_block_54/500000/0/recenter60,17,17,-0.3357734117647059,0,-2.281765,0,0,3,0,13,1.4835053529411764,0.2018189411764706,793732
500000/120/source_block_54/500000/0/trim25,17,17,-0.510018294117647,-0.633631,-1.276695,0.664033,2,0,12,4,1.8153201764705875,0.2771934117647059,793732
500000/120/source_block_54/500000/0/hold80,17,17,0.18857600000000002,0,-1.767551,2.037754,8,0,0,0,1.124903,0.3557048235294117,797479
500000/120/source_block_54/500000/600/recenter60,17,17,-0.29834235294117645,0,-2.033154,0,0,3,0,9,1.4835053529411764,0.2105584117647059,793732
550000/30/frozen_session6/1000000/0/guard60,12,12,0,0,0,0,0,0,0,0,0.333297,0.16863416666666667,793159
550000/30/frozen_session6/1000000/0/exit_early,12,12,0.09278816666666667,0.1378255,-0.8947,0.802643,7,0,0,0,0.333297,0.026759333333333333,662575
550000/30/frozen_session6/1000000/0/recenter60,12,12,-0.19639341666666665,0,-0.869857,0,0,3,0,8,0.49256675,0.25380800000000003,796941
550000/30/frozen_session6/1000000/0/trim25,12,12,-0.049373499999999994,-0.090919,-0.663565,1.728567,1,0,7,4,0.4965475,0.26908750000000003,793159
