action,priceFallPercent,navUSDG,lossFromAfterActionUSDG,startingNvdaExposurePercent
Retain original LP,0,948.7016,0.0,51.882844510855676
Retain original LP,1,942.013109,6.688491,51.882844510855676
Retain original LP,5,914.847872,33.853728,51.882844510855676
Retain original LP,10,880.891325,67.810275,51.882844510855676
Balanced recenter,0,946.603709,0.0,38.082476180113936
Balanced recenter,1,939.427323,7.176386,38.082476180113936
Balanced recenter,5,909.046409,37.5573,38.082476180113936
Balanced recenter,10,871.070266,75.533443,38.082476180113936
Recenter without sale,0,947.231982,0.0,51.963340063828205
Recenter without sale,1,939.917983,7.313999,51.963340063828205
Recenter without sale,5,909.53997,37.692012,51.963340063828205
Recenter without sale,10,871.567454,75.664528,51.963340063828205
Trim 25% and sell,0,947.6618,0.0,38.93677343541757
Trim 25% and sell,1,942.647142,5.014658,38.93677343541757
Trim 25% and sell,5,922.280059,25.381741,38.93677343541757
Trim 25% and sell,10,896.821204,50.840596,38.93677343541757
