session,group,entryAt,holdingMinutes,pnl,alpha,fees,gas,entryDrag,exitDrag,entryAllocationPpm,entryExposurePpm,signalExposurePpm,maxExposurePpm,signalTick,lower,upper,inventorySignalInside,exitDelaySeconds,thresholdTick,ticksFromEntryTo60,thresholdBeforeBoundary
5,chain,2026-09-08T09:01:35.000Z,79.85,43983,-900527,795260,869274,166997,1949,796283,334018,3887,526898,221863,221880,221920,,308,221910,14,True
6,chain,2026-09-08T11:59:46.000Z,60.38333333333333,-76573,-873909,489336,835229,204972,33918,732364,409034,67817,461272,221841,221850,221890,,307,221880,12,True
7,inventory,2026-09-08T13:12:25.000Z,23.683333333333334,-4830779,-1860213,1132089,816984,214047,399925,793051,427400,698136,698136,221855,221820,221860,True,62,221851,10,True
8,risk_reference,2026-09-08T14:25:17.000Z,44.983333333333334,-2264492,-990053,55680,854380,169147,195527,392079,338770,391240,392503,222042,221980,222020,,60,,,False
9,risk_reference,2026-09-08T15:23:32.000Z,9.25,-875570,-768525,104200,815510,215044,176922,524335,431670,,431670,222064,222040,222080,,62,,,False
10,inventory,2026-09-08T15:46:05.000Z,4.116666666666666,-1961463,-1015045,105648,822428,236919,325087,652309,476097,630369,630369,222078,222040,222080,True,62,222077,8,True
11,inventory,2026-09-08T16:04:32.000Z,13.366666666666667,-1483195,-642315,624730,835638,163080,321596,774529,329658,703925,703925,222106,222070,222110,True,61,222101,15,True
12,chain,2026-09-08T16:30:11.000Z,114.58333333333333,959640,1363130,2251946,821152,177136,202046,793265,357587,444297,581372,222112,222090,222130,,305,222120,13,True
13,inventory,2026-09-08T18:37:02.000Z,19.45,-893080,-237895,814347,823409,169250,269253,783590,341465,719974,719974,222125,222090,222130,True,428,222120,14,True
14,chain,2026-09-08T19:08:45.000Z,10.283333333333333,-1798884,-953730,158236,814757,234145,335841,798548,472769,529273,691650,222126,222100,222140,,431,222130,7,True
15,chain,2026-09-08T19:31:20.000Z,8.2,-674641,-798882,114867,832751,213557,111475,724501,431859,229884,431859,222122,222110,222150,,306,222144,11,True
16,inventory,2026-09-08T19:53:55.000Z,2.066666666666667,-1445783,-798542,196650,814751,219022,281014,746600,443097,717435,717435,222145,222110,222150,True,62,222140,10,True
17,chain,2026-09-08T20:10:19.000Z,15.383333333333333,-1156040,-733732,170684,824001,196750,217735,777570,398944,437367,445595,222121,222100,222140,,307,222130,11,True
18,risk_reference,2026-09-08T20:38:00.000Z,55.266666666666666,-807538,-490197,426180,824051,246502,232715,790983,500046,465982,510803,222123,222100,222140,,60,222131,6,True
19,chain,2026-09-08T21:45:36.000Z,134.01666666666668,-1695832,-789042,1120117,2193784,167979,226037,797105,342502,439196,448858,222131,222110,222150,,431,222140,14,True
