symbol,budget,scenario,name,allInInitialQuote,allInTerminalQuote,netPnlQuote,alphaQuote,feesQuote,gasPaidQuote,totalGasWithExitQuote,entries,recenters,recenterAttempts,partialFailures,gasBudgetStop,closedAt,outsideMs,holdingMs,averageRiskyExposurePpm,feesAbove10PercentExistingQuote,unavailableMarks,invalid,terminalExecutable
AAPL,all_in_250,receipt_median,fixed_20,250000000,249506753,-493247,-4977042,16471472,9858804,9858804,3,41,43,0,gas_budget,1788181974000,1406000,125646000,64050,0,0,,True
AAPL,all_in_250,receipt_median,fixed_80,250000000,288321461,38321461,33837666,60768511,7815073,7946878,1,35,35,0,,,1037000,1102144000,513349,0,0,,True
AAPL,all_in_250,receipt_median,fixed_160,250000000,270205276,20205276,15721481,31427659,2594689,2726494,1,11,11,0,,,148000,1105390000,413454,0,0,,True
AAPL,all_in_250,receipt_median,adaptive_economic,250000000,270154232,20154232,15670437,31432197,1724625,1856430,1,7,7,0,,,948087000,1105966000,548269,0,0,,True
AAPL,all_in_250,receipt_p90_delay,fixed_20,250000000,245418424,-4581576,-8982440,11037448,9936265,9936265,6,28,33,3,gas_budget,1788181974000,1273000,99763000,67269,22339,0,,True
AAPL,all_in_250,receipt_p90_delay,fixed_80,250000000,282557055,32557055,28156191,47829951,7921180,8221240,5,22,26,4,,,305000,1078898000,587625,0,0,,True
AAPL,all_in_250,receipt_p90_delay,fixed_160,250000000,267455144,17455144,13054280,28107152,3079389,3379449,1,11,11,0,,,148000,1096419000,413964,0,0,,True
AAPL,all_in_250,receipt_p90_delay,adaptive_economic,250000000,265403732,15403732,11002868,22825467,2549788,2849848,2,7,8,1,,,978125000,1098463000,573026,0,0,,True
AAPL,all_in_250,double_gas_half_fees,fixed_20,250000000,240782827,-9217173,-13588792,2808579,9975106,9975106,2,20,21,0,gas_budget,1788090802000,487000,38704000,18905,0,0,,True
AAPL,all_in_250,double_gas_half_fees,fixed_80,250000000,250420980,420980,-3950639,24124840,9803308,9803308,1,21,21,0,gas_budget,1788979359000,858000,928426000,458194,0,0,,True
AAPL,all_in_250,double_gas_half_fees,fixed_160,250000000,251782249,1782249,-2589370,15306912,5189378,5452988,1,11,11,0,,,148000,1105390000,415285,0,0,,True
AAPL,all_in_250,double_gas_half_fees,adaptive_economic,250000000,258237919,8237919,3866300,8579388,404026,667636,1,0,0,0,,,972814000,1106893000,358044,0,0,,True
AAPL,250_plus_gas,receipt_median,fixed_20,250000000,282227544,32227544,27552461,158862450,69721367,69853172,39,254,292,21,,,5374000,1035552000,583608,0,0,,True
AAPL,250_plus_gas,receipt_median,fixed_80,250000000,290212709,40212709,35537626,63267442,7815073,7946878,1,35,35,0,,,1037000,1102144000,513089,0,0,,True
AAPL,250_plus_gas,receipt_median,fixed_160,250000000,271157687,21157687,16482604,32737422,2594689,2726494,1,11,11,0,,,148000,1105390000,413418,0,0,,True
AAPL,250_plus_gas,receipt_median,adaptive_economic,250000000,269790870,19790870,15115787,31491581,1810524,1942329,2,6,7,0,,,948044000,1105310000,547484,0,0,,True
AAPL,250_plus_gas,receipt_p90_delay,fixed_20,250000000,250300604,300604,-4291548,92899234,63593852,63893912,47,155,202,45,,,4874000,878542000,554208,23202,0,,True
AAPL,250_plus_gas,receipt_p90_delay,fixed_80,250000000,284248891,34248891,29656739,49822376,7921180,8221240,5,22,26,4,,,305000,1078898000,587352,0,0,,True
AAPL,250_plus_gas,receipt_p90_delay,fixed_160,250000000,268319211,18319211,13727059,29275880,3079389,3379449,1,11,11,0,,,148000,1096419000,413904,0,0,,True
AAPL,250_plus_gas,receipt_p90_delay,adaptive_economic,250000000,262545713,12545713,7953561,25384482,2277972,2578032,3,4,6,2,,,946836000,1099668000,631037,0,0,,True
AAPL,250_plus_gas,double_gas_half_fees,fixed_20,250000000,131950989,-118049011,-122611918,69690830,139442734,139706344,39,254,292,21,,,5374000,1035552000,729699,0,0,,True
AAPL,250_plus_gas,double_gas_half_fees,fixed_80,250000000,250323289,323289,-4239618,29987921,15630146,15893756,1,35,35,0,,,1037000,1102144000,520294,0,0,,True
AAPL,250_plus_gas,double_gas_half_fees,fixed_160,250000000,252080815,2080815,-2482092,15944932,5189378,5452988,1,11,11,0,,,148000,1105390000,415157,0,0,,True
AAPL,250_plus_gas,double_gas_half_fees,adaptive_economic,250000000,258602654,8602654,4039747,8934303,404026,667636,1,0,0,0,,,972814000,1106893000,357754,0,0,,True
QQQ,all_in_250,receipt_median,fixed_20,250000000,274061204,24061204,24699319,38862771,9921963,9921963,8,33,40,2,gas_budget,1788226883000,1450000,167590000,96005,11473894,0,,True
QQQ,all_in_250,receipt_median,fixed_80,250000000,300490556,50490556,51128671,60015295,2608909,2741743,1,11,11,0,,,1546000,1104790000,498727,0,0,,True
