symbol,pool,fee,spacing,capacityPass,replayCompatible,referenceEligible,reasons,referenceReasons,buyShortfallPpm,sellShortfallPpm,testedHalfWidths
NOW,0x00ed6c6954edf77ffa945696f1eacf08edcc8d3a,10000,200,False,False,,,,997523,997523,200;200
F,0x01948e834623aa859ffdc0d299dd15e7c9d7486f,10000,200,False,False,,,,10227,10227,200;200
USO,0x02175608f1b5e6b5ed221ccfdc7be197d111d915,3000,60,True,False,True,,,3004,3004,120;180
AXTI,0x0340bfc46e756f1dcc309ae43b78456885309c09,10000,200,False,False,,zero_active_liquidity,,,,
P,0x0425c69694c9357b6f2daeb9897795fcd9c6e6cb,10000,200,False,False,,zero_active_liquidity,,,,
USAR,0x04391780f519b7d3ba59c9590459d76e23d225c4,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3613,3613,120;180
IBM,0x05261191bc75f7bd572996bd03eaa9a26547c3c2,100,1,False,False,,zero_active_liquidity,,,,
TE,0x05346c2c9378a97304f192f90fe7b23edd253067,10000,200,False,False,,zero_active_liquidity,,,,
SOXX,0x0663e66c880e27a5ce3c4c25234ab64ead7dff67,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3635,3636,120;180
NET,0x06abd56348164c673058dd5750812b059c054ca5,10000,200,False,False,,,,12224,12224,200;200
MRVL,0x06cc0b96be1fa1d754ce2e1228f5d8c616f795b0,10000,200,False,False,,,,10849,10849,200;200
AAOI,0x078c1690865964838ae346077046750846a552d1,10000,200,False,False,,,,995235,997468,200;200
INDA,0x07c3a3a6eeb2f122493f32418fbf136403608cb8,500,10,False,True,,zero_active_liquidity,,,,
TSM,0x07e8ea83d4c1340774c8965125e26e12bf943bf1,10000,200,False,False,,,,10054,10054,200;200
TTWO,0x0889178e5cf9408ead5d0d1e8c6ff29e113388af,10000,200,False,False,,zero_active_liquidity,,,,
GME,0x0a0675689c2ad2a3ade86539bcbd27b6c0764e9d,3000,60,True,False,True,,,3167,3167,120;180
COST,0x0a2121a50a09ed0796ae81f9c53ff9398355a398,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3005,3005,120;180
WDC,0x0af0268a314362fe321bdb0539aac9a1fba119fd,10000,200,False,False,,zero_active_liquidity,,,,
PL,0x0b5de42992cc18bfe63e62f6866c7e6b32cc3c9a,10000,200,False,False,,zero_active_liquidity,,,,
WULF,0x0c72e22d7a3ef8bb845478e5d77aec87789defc6,10000,200,False,False,,,,23608,23608,200;200
IREN,0x0dbe9eeea89c6ef5cd2ffcdf800e6f2548524cdb,10000,200,False,False,,zero_active_liquidity,,,,
NBIS,0x0dda7c6a2cce72abbfa88394afe407ff98417448,10000,200,False,False,,zero_active_liquidity,,,,
NU,0x0e3faed512e7909758eb924e6919e0057bd6b45e,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3938,3938,120;180
SNAP,0x0ebd4650c9e641e9745b5a508a2d46935dfe753e,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3106,3106,120;180
FIG,0x0f0e07a687d3210a3b9b5c40c11bce39b2674517,10000,200,False,False,,zero_active_liquidity,,,,
LULU,0x0f4227d27082b3bca6818381b9ea6460275e49f4,3000,60,True,False,False,,oracle_feed_missing;paper_equity_oracle_missing,3022,3022,120;180
SLV,0x0fa7bc480885dcf58ad2ef63ec7289cf2481d51c,10000,200,False,False,,,,11187,11187,200;200
PENG,0x10508f818e05193efd10a5ad360441067892551f,10000,200,False,False,,zero_active_liquidity,,,,
META,0x107a7cb40d8665360ba10e59471af06150a50922,3000,60,True,False,True,,,3050,3050,120;180
